Drug Name,Condition,Review Text
strattera,For ADHD,"For ADHD""I am a 28-year-old female with the inattentive type ADHD. For a long time, I was on 30mg of Adderall, and to say the least, it ruined my life. After 5 years of being on that crappy drug, I wanted to try a non-stimulant. My doctor prescribed me 40mg of Strattera. At first, the side effects were terrible. My mood swings were terrible, I felt dizzy, sleepy, constipated, and had a loss of interest in sex. The side effects only lasted around 2 weeks... then came the good part. All these side effects subsided, and I noticed how calm I was. Usually, I'm on edge. I also noticed that I'm more attentive to the things I need to take care of at home and work. I enjoy sex more than I did before, and I'm sure this med has helped me become closer with my fiance again. If you are suffering from ADHD and don't like stimulants, please give this med a chance. It is well worth it!"""
strattera,For ADHD,"For ADHD""I'm a 31-year-old male. I was diagnosed with schizoaffective disorder comorbid with ADHD. My doctors hence refused to give me stimulants, so they offered Strattera, and it worked like magic on the first day. No side effects. I feel more alert, more energized, and can continue to focus even during boring tasks. The real benefits are supposed to appear after 4 weeks. If after 4 weeks Strattera really does improve my ability to concentrate and my motivation even more, I would be really impressed. I will be updating this review as time goes."""
strattera,For ADHD,"For ADHD""This Strattera is the best ADHD medication I've had so far. It takes a LONG time to kick in. I was supposed to feel the full effects a month into taking it, but I didn't get them for maybe 2-3 months. However, it was worth it for me. Instead of just giving me energy and turning me into an emotionless robot like stimulants, it reworked my brain. My whole brain functions better now. I don't procrastinate, and I can pay attention and work better. I have branched out into different hobbies because it gives you motivation. This is in effect 24/7 because it doesn't leave your system or wear off like stimulants. Now, the side effects. I still zone out and dissociate. There is a decrease in appetite (not as bad as the stimulant in that area, though). I have vivid dreams/nightmares. I feel tired often, and nap a lot. Also, I feel more depressed in general. None of these side effects are very severe, but they can be difficult at times. However, I really do recommend giving Strattera a good chance."""
strattera,For ADHD,"For ADHD""I'm a 26-year-old AFAB (assigned female at birth) person, and I never thought I had ADHD until very recently. My spouse was diagnosed with hyperactive ADHD, and while we were researching it, I realized all the symptoms for inattentive ADHD matched me. I mentioned it to my psych, and after some tests, he diagnosed me with ADHD and put me on Strattera. It didn't kick in until week 4 for me, and up to that point, I had an upset stomach for about 30 minutes every morning right after I took the pill. But the nausea went away, and I began realizing that suddenly everything was so much easier to do. I started to notice how much time I was saving at work and doing household labor because I no longer got distracted or had to hype myself up for an hour before doing a basic task. I just would think 'I should do this thing' and then immediately take care of it."""
strattera,For ADHD,"For ADHD""At 32 years old, I was diagnosed with ADHD, which was a huge relief. I had always known that I felt different, and my behavior throughout childhood was questionable. It's sad to think that ADHD was never a recognized condition for girls back then. If it had been, I believe my childhood would have been very different. Strattera has changed my life. All the noise in my head, impulsiveness, procrastination, and extreme exhaustion have stopped. I no longer dread the days ahead or count down the minutes until bedtime. I am truly enjoying life. This drug is not a miracle, but when combined with positive steps, it has made me realize that I am equal. I no longer feel like an imposter or am terrified of social situations. The initial side effects I experienced were fatigue, nausea, and loss of appetite. However, for me, these side effects were preferable to continuing down a path of self-destruction and the inability to exercise self-control. If you are starting this drug, stay strong and have faith."""
strattera,For ADHD,"For ADHD""I am on Strattera 40 mg once a day for one week, then twice a day (80 mg) after. I'm 33 years old. Never been treated for ADHD before now. I have terrible anxiety, among other things. Today is day three on Strattera. I feel drunk when I take it. I don't like alcohol normally, but this feels like I drank too much. The first few hours are difficult. My chest feels heavy, and my body is tingling. I have constant goosebumps. I don't think it's supposed to be like this. Any advice??"""
strattera,For ADHD,"For ADHD""After 10+ years of unsuccessful psychotropic medications for various misdiagnoses and 11 years of therapy, my brain is quiet. At one point I was worried it wasn't working, but then realized I was only bored because I had actually finished all my tasks. I upped the dosage VERY slowly (over months) and have not had noticeable side effects other than nausea, which doesn't even occur if I eat beforehand. I recommend therapy on top of meds and sticking with it for months to give it a chance to work - finally having enough time to start living and not just surviving/the realization of what normal is can be an overwhelming process. Best of luck to you all!"""
strattera,For ADHD,"For ADHD""I’m a 26-year-old female, and I’ve been on 25 mg of Strattera for 5 months, so I feel that it’s safe to say this drug is SLOW. The results take a couple of weeks, and they are not too noticeable day-to-day. The definite way I know it’s working is when I look back on the last couple of months and see what I’ve gotten done since then. I’m doing a lot better at my job with a lot fewer errors, and my manager even told me to 'keep doing what I’m doing, you’ve made barely any mistakes in the past couple of weeks.' I’ve been painting and making art a lot more consistently. Chores still suck, and I procrastinate, but I can actually follow through on tasks. Please give it a chance past the days of weird night sweats, sluggishness, and stomach discomfort. It can be worth it. It’s not dramatic, but it’s enough to make a difference."""
strattera,For ADHD,"For ADHD""I’ve been on Strattera for almost a year. I am a 23-year-old female with ADHD. It took about two months to finally fully work, but when it did and I got over the side effects, I loved it. You will experience some nausea and stomach pain in the beginning and sweating or feeling lightheaded if you don’t take it easy. I recommend eating lightly with it and make sure you drink water so your stomach acid isn’t going toe to toe with extended release. You may vomit if you don’t take it with a little food. Give it time. I focus easily now, and my life has drastically improved. I’m getting my master's and work full time, and the medicine also regulates appetite and seems to raise the metabolism. Good luck!"""
strattera,For ADHD,"For ADHD""Game changer for me. 60mg for ~3y. Not a magic bullet, but without it, I couldn't be self-employed. I still lose days immobilized or where all I can do is a few emails, but compared to weeks of incapacity without it. For example, without meds, I can sit for hours thinking: 'I need to do the dishes [add mental distraction here & repeat].' Now I can go from thought to action; just get up and do the dishes! When I don’t take it, negative self-talk starts in my mind, from how frustrating it is to never shift from thought to action. I can really tell the difference. Advice: 1) REALLY important, titrate dosage up SLOWLY, for example, a few weeks or a month with 20mg, then 40mg, etc., to reduce any side effects. Don’t go too fast or start on the full dose. 2) I can't take it until AFTER I eat enough and wait for my digestion to awake, or I get nausea. I can’t just take it WITH food on an empty stomach or even just AFTER breakfast. So I eat oatmeal and take the pill later after mid-morning snack. Otherwise, I’d rate it 10/10."""
strattera,For ADHD,"For ADHD""I am 44F, have been on Strattera for 19 months. It took about 6-8 weeks to feel my best. After adjusting strengths, I eventually stayed on 60 mg. Focusing and memory is much better. Strattera is off-label prescribed as an antidepressant. Instead of trying Cymbalta, I recently chose to increase Strattera to 80mg first. It's been one week and my mood seems a little better. I have been really tired, not so tired that I don't get anything done. Caffeine seems to increase my heart rate. I have noticed acne breakouts on my face, chest, and back which did not occur with 60mg. Mostly on my face. I may be the exception. Strattera is worth a try if you don't want to try stimulants like Adderall. I wish you well on the arduous journey of finding the right med for you."""
strattera,For ADHD,"For ADHD""Nothing would quite fix me. Not antidepressants, or therapy, or Adderall. Depressed all the time, screaming on the inside. Had days I literally could not do anything. Unfocused at work, hated my job, life, and wife. Changed psych doctors, prescribed Strattera, titrated more slowly than the sample pack, got up to 60 mg. Way happier. Less sensitive - don't get hurt easily. Take criticism better. Wife notices a big difference in mood - always thought it was depression. It's ADD and Strattera is perfect for it. Just hope it keeps working!"""
