Drug Name,Condition,Review Text
concerta,For ADHD,"For ADHD""I am a 35-year-old female. I suspected I had ADHD, generalized anxiety, and depression for many years based on severe mental illness in my family, but have only recently been diagnosed. After the effects of Covid and a family crisis while trying to finish a Master's degree, I was overwhelmed and unable to do anything. I began Concerta, and it gave me hope. Drugs are not a magic pill. If you think only taking Concerta will fix you, that is the wrong attitude. You have to make other efforts like counseling or changing your environment. Concerta changed my life, but it was coupled with a lot of effort to create the right conditions for me. I began waking up early to work in the morning so I would not be distracted by anyone or anything. I made sure to eat my three meals a day, even if the drugs suppressed my appetite. I highly recommend it. It's really worth a try. I'm on the 54 mg."""
concerta,For ADHD,"For ADHD""My 9-year-old son has been on 18 mg of it for a month now and it truly is a miracle! We literally noticed a difference in him the very first day. His appetite has actually increased! His sleep has not been affected. He actually goes to bed now the first time we tell him to. He will still express that he doesn't feel tired and that he doesn't want to go to bed, but when we tell him that he needs to, he just goes to his bed without the fighting or trying to do anything else to stop from going to bed. He is more loving and affectionate now, whereas before he was always so defiant. He does cry a bit easier now, but it's better than the anger he felt before. He's helpful and considerate and empathetic. We reluctantly gave him this drug, and it has saved my marriage, and our overall quality of life has improved drastically. He did a presentation in school and received an A! Just try it... You will know right away if this works for you... hopefully you are one of the lucky ones."""
concerta,For ADHD,"For ADHD""Having suffered with depression and ADHD as an adult, honestly this medication is a godsend. I'm only on 18mg (Extended release) and take it with Wellbutrin (for the depression) and I must say it's a life changer! The extended release makes a big difference - blood levels are more stable. No more emotional moods, no more crying, no more feeling like dying, no more negative thoughts. Also, you can concentrate for long periods of time and not get frustrated and be very clear-minded. I can study for 6 hours straight! After trying so many medications, this just works. Side effects: Fast heartbeat, lots of energy, and maybe a libido boost. Really good for adult ADHD and depression. Please note. Everyone is different. You might have a different experience."""
concerta,For ADHD,"For ADHD""I am 54, been taking methylphenidate (Ritalin first, then Concerta) for 14 years. I decided to come off cold turkey to see if the doctor made a misdiagnosis, lol. After a month, I was sleeping in the woods, homeless, driving a Mercedes Benz, when I realized something was wrong! I am on meds for the second day now, and after an hour, I could feel myself becoming emotionally and mentally comfortable. I couldn’t stop running for an outside solution to an inside problem. I could not focus, could not engage at work, so I didn’t work, therefore, everything started to crash down around me. I almost lost everything I had and loved. ADHD for me is here to stay! I will end with this: I have no chance at a normal life without the help of medication!"""
concerta,For ADHD,"For ADHD""Concerta is WONDERFUL. I’m 24, and I’ve struggled all my life with mental illness. 4 months ago, I was diagnosed with ADHD and Bipolar II Disorder. My psychiatrist said I had to get the mood balanced from the Bipolar before we could treat the ADHD. Once my mood was stabilized, I started to try some stimulant medications. I tried Adderall 5mg and 10mg. It was an absolutely awful experience. I had two friends recommend Concerta to me, so I requested it from my provider. I was prescribed 18mg, and after ONE day, let me tell you, I was feeling like the best self that I knew was there all along—calm, attentive, and enjoying every passing moment with bliss. It keeps on getting better, and I hope it continues to. I'm going to up my dose next month. If you are struggling with ADHD, try this. I feel so amazing I could cry (in a good way), no hassle with multiple doses. I was on the brink of giving up, but I gave this a go. Please, please try it. The only side effect is less appetite, BUT WHO CARES AT THIS POINT."""
concerta,For ADHD,"For ADHD""I've been taking Concerta for the past 14 years since it came out (24 now) and I don't plan on changing unless I'm forced. I've tried other medications and none work as well with as few side effects. Right now I take the 54mg. Sure, I experience some side effects, but I've learned to manage them over the years (force myself to eat, etc.). The treatment of ADD/ADHD is only effective through a multifaceted approach, medication AND counseling/therapy/behavior coaching. Without Concerta, I would never have made it through school or had successful relationships. ADD makes life hard, but with the right combination of treatments, it is more than manageable."""
concerta,For ADHD,"For ADHD""I’ve been on Concerta for the past week and a half. On one hand, it works really well when it comes to productivity and organization, as it keeps me energized and focused, and also improves my driving skills! However, taking this medication has significantly worsened my mental health, causing me to experience paranoia, mood swings, anxiety, and even some suicidal thoughts. Although it does its job, I can’t keep taking it simply due to the effect it’s been having on my well-being. I’ll be scheduling an appointment with my doctor to change my prescription momentarily. However, just because Concerta hasn’t worked for me, that doesn’t mean it can’t/won’t work for you."""
concerta,For ADHD,"For ADHD""I am a pediatric nurse and a mother of a child with ADHD. The nurse in me hated the thought of medicating my son with anything, yet the mom in me knew something needed to be done. My son went on Concerta at age 6. He takes 36 mg, and today is 12 and still on the same dosage. It has helped him in so many ways... grades, focusing, decreased aggressive behavior, and friendships, just to name a few. Though I was resistant, this was the best choice for my child. It's been 6 years, and he is great. It does decrease his appetite during the daytime, but he does catch up in the evening with calories. I highly recommend a daily Carnation shake with whole milk or a multivitamin if your pediatrician agrees, to prevent missing any nutrients. Good luck to you all."""
concerta,For ADHD,"For ADHD""I don't know how I feel about it. I'm 21. I was diagnosed with ADHD this summer. My grades went from C's and B's to A's and Dean's List. I can't say I hate it, but I can't say I love it either. I used to be this free-spirit girl who was bubbly and loved to go out with my friends. Although I did have issues with controlling my impulsive mood swings, I still was really happy. Since taking it the past 7 months, my friends call me the cave dweller. It's sad because I'm actually content with being alone. It used to drive me nuts. I'm almost scared to talk to people I don't know. My social life has gone in the dump. Nothing bothers me. It makes me get really good grades, but it takes away the passion. I feel like a computer."""
concerta,For ADHD,"For ADHD""My son was diagnosed with ADHD at the age of 6. I was extremely against trying medications, but after an extremely difficult kindergarten and start of first grade, I decided that it was worth looking into. My son was miserable, and it broke my heart to see him coming home every day in tears. We tried a variety of behavioral interventions, but nothing worked and my son was not happy. We decided, based on a friend's advice (her daughter had success with Concerta), to give it a shot. OMG! It was like night and day! Slight decrease in appetite initially, but other than that, it's been a godsend. Wishing all you parents the same success we had!!!"""
concerta,For ADHD,"For ADHD""I've used Concerta for 5 years and loved the improvements at first - I became successful, in perfect shape, and did most things extraordinarily well. My life did a complete 180. Once unfocused, unmotivated, and disorganized, I transformed to near perfection in everything I did. The price you pay for perfection - I've lost my friends and my social abilities. I used to be fun and full of life! You begin to seclude yourself because you are too focused, too mechanical. You lose weight because your appetite goes away and you are indeed anorexic. I couldn't sleep, had extreme anxiety, headaches, dry mouth, highs and lows....I can go on and on. It changes you and you may think it's great but ultimately you lose yourself in the process."""
concerta,For ADHD,"For ADHD""Since starting on Concerta, I have been able to effectively get my life together. I am no longer impulsive, hyper, inattentive, or anxious. The last two years have been the best I've ever experienced. I struggled with procrastination and mood issues prior to being medicated for ADHD. Past inaccurate diagnosis caused doctors to label my ADHD-I with a number of false mental health issues. The wrong medications caused a lot of damage in my personal life. Now, I have finally been able to get my life together. Concerta is a very good medication for those with ADHD/ADHD-I."""
concerta,For ADHD,"For ADHD""My 4th grade son began taking Concerta 2 1/2 weeks ago. It has been the best decision I ever made. His teacher says he is a completely different child. His funny personality remains but he is on task, finishes all his homework in class, and actually tells other children to quiet down. I lamented for many, many months about whether or not to have him begin a stimulant. It is obvious that it was the right decision. I make sure he eats a hearty breakfast. He knows he needs to push himself to eat something at lunch and drink plenty of fluids. He did tell me he felt 'prickles in his head' for the first 2 days. His teacher reported he was a little tired for a couple of days as well. He says his mind is more clear and 'not so jumbled'. We're thrilled."""
concerta,For ADHD,"For ADHD""Concerta has made me more focused and things seem to be easier to understand for me. I am 36 years old and was diagnosed with ADHD. This is a wonderful medication and for me, life-changing. I now know I needed this medication for many, many years now. And so far no side effects, sleep better and still have my appetite. I have more energy and I don't procrastinate anymore when I need to do something, I just do it without procrastinating about it. Exercise is also easier, which is good because I am overweight and need to lose some weight. I seem to be able to interact with people a lot easier and now I can have a conversation with people without blurting out things before I forget what I want to say and having to pause in between sentences."""
concerta,For ADHD,"For ADHD""My son is 10 years old. I suspected he had ADD when he was 6, and the teacher kept telling me he was spacing out in school, but he is also so smart. I decided maybe the work was just too easy, and he was bored. In 4th grade, I couldn't take the complaints (almost daily) and had him tested. He was diagnosed with ADD and given Concerta. I can only tell you that his math teacher sent me home a note on the day he started medication to ask where I got my new son from, she could not believe it. She said he even went in during his lunch break to catch up on some work. He lost his appetite for the first week or so, but regained it and hasn't had trouble sleeping at all. He is happier, his teachers are happier, and I am HAPPIER! Thank you, CONCERTA."""
concerta,For ADHD,"For ADHD""Ok, this is where I am after two weeks. I'm turning 54 one of these days, Managing Director of my company, and self-diagnosed with ADHD about a month ago. I matched ALL the criteria. Went to see a doctor and he confirmed my suspicions. I relayed my struggles with studies at University and he referred to me attaining two degrees as a 'miracle.' I cannot begin to explain how difficult studying was, not to mention having to sit through hours of lectures. There was no - and I stress - NO filter between my brain, mind, and my mouth. Anger, profanity, and impulse behavior was only curbed by my life-long ability to fall asleep anywhere, anytime. Imagine an alien being in charge for 53 years. It's all gone. Why did no one help me with this before?"""
concerta,For ADHD,"For ADHD""My 9-year-old son has struggled for years, in school and at home. Impulsive behavior, anger, inappropriateness. I always fear the worst and avoided medication for 2 years. It’s been one week since he has been on 18 mg Concerta, and it’s been a lifesaver. He enjoys school now, not getting in trouble, he’s so much better at home as well. No side effects so far, eating and sleeping no problem. So happy we chose this path. Hopefully self-esteem and relationships can be saved :)"""
concerta,For ADHD,"For ADHD""My son is in 4th grade and just started taking Concerta two days ago. So far, so good! He is dealing with severe ADHD. He was a very angry child, and since he started taking it, the teachers have sent notes home saying how well he is doing! School is easier so far, which means a happier boy! He hugs me and kisses me, and we have had fewer fights about getting homework done. We are very pleased!"""
concerta,For ADHD,"For ADHD""If you have ADHD, pills like Strattera (non-stimulant) do not seem to work. You do need a stimulant. Concerta is amazing medication. I used to be on it from 2nd grade all the way until 9th. Looking back now, at 21 years old, I see that after I stopped it in high school, my grades dropped. Just started taking the average adult dose of 36mgs and it has really helped me in class, although there isn't an insane change. MAKE SURE TO TAKE IT WITH A DECENT MEAL OR IMMEDIATELY AFTER. If you don't, you'll find yourself with an upset stomach for a lot of the day."""
concerta,For ADHD,"For ADHD""My son started on Concerta about a year ago. It has transformed his life. I don't like giving medicine, but I have tried absolutely everything else - swimming, brain gymnastics, etc. Nothing really helped. He is naturally bright but just couldn't concentrate - particularly when it came to classroom work and focusing on a project involving writing. The transformation has been incredible. He had an excellent school report in every area. His teachers are thrilled, he is confident and happy, and enjoys school. He doesn't take Concerta in the holidays or at weekends and manages fine going back on it on a Monday morning. Only one side effect which is a lack of appetite. We ensure he goes to school with a good breakfast, and then he has a huge meal when he gets home."""
concerta,For ADHD,"For ADHD""I started Concerta when I was in 7th grade. I am now 14, and I started off with 36mg. Now I am on 54mg. At first, I had a big boost in my grades! I started getting A's! This year, I have been noticing in school that I have been more anxious, depressed, not hungry during the day, and a little bit socially awkward. I am trying to deal with my side effects. I am going to the doctor soon about Concerta. You are not alone."""
concerta,For ADHD,"For ADHD""My daughter just started taking Concerta for ADD about 3 weeks ago and she has made significant improvements. She is now able to stay on task and complete assignments, which she was having a hard time doing before. There has been no difference in her personality, which was a concern of mine. She also has developed a better sleeping pattern, whereas before she had a tendency to have insomnia."""
concerta,For ADHD,"For ADHD""Was diagnosed with ADHD (inattentive) & excessive daytime sleepiness at age 30 (cis woman) & was prescribed Concerta for it. Started out on 18mg as advised by my doctor since I had anxiety & they feared worsening it. But immediately noticed a huge improvement in focus as well as willingness to do tasks I originally avoided like a plague & feared all my life. It was like night & day, I sobbed that same day realizing this was that semblance of normalcy others experienced on a daily basis while being productive & getting things done. After being told all my life that I was either too lazy or easily distracted & rude, I now know it wasn't my fault. My anxiety even got better because that was the source of it. However, with the 16mg, the positive effects started to go away after a month, thus the bump to 27mg, and now currently 36mg, which is my sweet spot. It's been about 6 months & I would recommend giving it a try for adults! Remember it's not a 100% cure, you still need self-therapy/management. GL!"""
