rank,side_effect,comment
top 1,irritability,"No experience with Granules but I know if I take the pills manufactured by Aurobindo versus Teva I’ll have an adverse reaction. Because of this, I get my medication from a pharmacy that’s not my preferred pharmacy my preferred pharmacy only distributes Aurobindo."
top 1,irritability,The info abt this Rx drug indicates that it can be a serious side  effect for some ppl  and that at high doses can cause amphetamine psychosis and other dangerous side effects. Each person responds to any  drug in their own unique way. It def is not an Rx to mess with altho ppl certainly do.
top 1,irritability,"I take l-theanine before bed. It helps me sleep. If you are getting a bad crash from adderall, you are taking too much. Try a lower dose. There is a sweet spot."
top 1,irritability,"On the first day, drink tons of water and go for a light jog if your body can handle it, luk warm to cold shower to shorten the withdrawal period. I am also on the 30 mg dosage. stay away from excessive coffee. tried to replaced adderral with coffee on my downtime had a massive nose bleed from high blood pressure."
top 1,irritability,"As a narcolepsy patient I cannot relate in any way to this statement.  If I’m not on Adderrall, then I’m simply not awake.  This shortage of the drug over the past 3-4 months has been hellish."
top 2,dizziness,"I take l-theanine before bed. It helps me sleep. If you are getting a bad crash from adderall, you are taking too much. Try a lower dose. There is a sweet spot."
top 2,dizziness,"No experience with Granules but I know if I take the pills manufactured by Aurobindo versus Teva I’ll have an adverse reaction. Because of this, I get my medication from a pharmacy that’s not my preferred pharmacy my preferred pharmacy only distributes Aurobindo."
top 2,dizziness,The info abt this Rx drug indicates that it can be a serious side  effect for some ppl  and that at high doses can cause amphetamine psychosis and other dangerous side effects. Each person responds to any  drug in their own unique way. It def is not an Rx to mess with altho ppl certainly do.
top 2,dizziness,"Likely absolutely nothing side effect wise. I started off at 10mg 3x a day and felt nothing lol 
Only thing is you might feel ever so slightly clearheaded? Kinda depends on what you’re taking it for. Nuero or mental?"
top 2,dizziness,"On the first day, drink tons of water and go for a light jog if your body can handle it, luk warm to cold shower to shorten the withdrawal period. I am also on the 30 mg dosage. stay away from excessive coffee. tried to replaced adderral with coffee on my downtime had a massive nose bleed from high blood pressure."
top 3,dyspnoea,"No experience with Granules but I know if I take the pills manufactured by Aurobindo versus Teva I’ll have an adverse reaction. Because of this, I get my medication from a pharmacy that’s not my preferred pharmacy my preferred pharmacy only distributes Aurobindo."
top 3,dyspnoea,The info abt this Rx drug indicates that it can be a serious side  effect for some ppl  and that at high doses can cause amphetamine psychosis and other dangerous side effects. Each person responds to any  drug in their own unique way. It def is not an Rx to mess with altho ppl certainly do.
top 3,dyspnoea,"On the first day, drink tons of water and go for a light jog if your body can handle it, luk warm to cold shower to shorten the withdrawal period. I am also on the 30 mg dosage. stay away from excessive coffee. tried to replaced adderral with coffee on my downtime had a massive nose bleed from high blood pressure."
top 3,dyspnoea,"As a narcolepsy patient I cannot relate in any way to this statement.  If I’m not on Adderrall, then I’m simply not awake.  This shortage of the drug over the past 3-4 months has been hellish."
top 3,dyspnoea,"I take l-theanine before bed. It helps me sleep. If you are getting a bad crash from adderall, you are taking too much. Try a lower dose. There is a sweet spot."
top 4,application site erythema,"No experience with Granules but I know if I take the pills manufactured by Aurobindo versus Teva I’ll have an adverse reaction. Because of this, I get my medication from a pharmacy that’s not my preferred pharmacy my preferred pharmacy only distributes Aurobindo."
top 4,application site erythema,The info abt this Rx drug indicates that it can be a serious side  effect for some ppl  and that at high doses can cause amphetamine psychosis and other dangerous side effects. Each person responds to any  drug in their own unique way. It def is not an Rx to mess with altho ppl certainly do.
top 4,application site erythema,"Weight and Age, Health, taking it on empty stomach vs eating, etc. You have to make the benefit of the doubt with Adderall for its maximum performance for the solid 14 hours of being ZAPPED out your ass like myself at this very minute."
top 4,application site erythema,"As a narcolepsy patient I cannot relate in any way to this statement.  If I’m not on Adderrall, then I’m simply not awake.  This shortage of the drug over the past 3-4 months has been hellish."
top 4,application site erythema,"On the first day, drink tons of water and go for a light jog if your body can handle it, luk warm to cold shower to shorten the withdrawal period. I am also on the 30 mg dosage. stay away from excessive coffee. tried to replaced adderral with coffee on my downtime had a massive nose bleed from high blood pressure."
top 5,hypotension,The info abt this Rx drug indicates that it can be a serious side  effect for some ppl  and that at high doses can cause amphetamine psychosis and other dangerous side effects. Each person responds to any  drug in their own unique way. It def is not an Rx to mess with altho ppl certainly do.
