rank,side_effect,comment
top 1,irritability,"I was diagnosed with bipolar and narcolepsy before I was correctly diagnosed with ADHD (which more accurately matched the symptoms they called bipolar) and autism (turns out if I avoid sensory overstimulation I don't have autistic shutdowns, aka the naps I would have to take during the day that they thought were narcolepsy despite having difficulty sleeping)."
top 1,irritability,"I think i might feel a little more focused but i am exhausted by the end of the day. 
To answer your question, Wellbutrin doesn't affect serotonin.  It's an NDRI. Wellbutrin and Zoloft are commonly prescribed together"
top 1,irritability,"I listen to guided meditation sleep videos on YouTube or brown noise videos, whichever my brain is craving. My little one (whom I suspect also has ADHD) falls asleep within minutes."
top 1,irritability,I fall asleep easily but toss and turn all night. Fall back asleep fine but in pain because of the positions I get into. I feel that “driven by a motor” impulse to turn over.
top 1,irritability,Also known as Vistaril. I was given this for crippling anxiety a few years ago. I could not tolerate benzos so this is what worked for me. It is an antihistamine.
top 2,dizziness,I fall asleep easily but toss and turn all night. Fall back asleep fine but in pain because of the positions I get into. I feel that “driven by a motor” impulse to turn over.
top 2,dizziness,Also known as Vistaril. I was given this for crippling anxiety a few years ago. I could not tolerate benzos so this is what worked for me. It is an antihistamine.
top 2,dizziness,"I listen to guided meditation sleep videos on YouTube or brown noise videos, whichever my brain is craving. My little one (whom I suspect also has ADHD) falls asleep within minutes."
top 2,dizziness,"Just here to say certain co-morbidities make ADHD stimulants a terrible idea.  Most common presentation of this is making the symptoms of the non-ADHD disorder worse, even dangerous.

Good luck!"
top 2,dizziness,Please consider Non24 disorder. It's quite common for ADHD / ASD to have Delayed Sleep Phase Disorder or even Non24. That's totally fine! You simply should restructure your life according to your biorhythm / genetic fixed needs.
top 3,dyspnoea,"I was diagnosed with bipolar and narcolepsy before I was correctly diagnosed with ADHD (which more accurately matched the symptoms they called bipolar) and autism (turns out if I avoid sensory overstimulation I don't have autistic shutdowns, aka the naps I would have to take during the day that they thought were narcolepsy despite having difficulty sleeping)."
top 3,dyspnoea,"I listen to guided meditation sleep videos on YouTube or brown noise videos, whichever my brain is craving. My little one (whom I suspect also has ADHD) falls asleep within minutes."
top 3,dyspnoea,Also known as Vistaril. I was given this for crippling anxiety a few years ago. I could not tolerate benzos so this is what worked for me. It is an antihistamine.
top 3,dyspnoea,I fall asleep easily but toss and turn all night. Fall back asleep fine but in pain because of the positions I get into. I feel that “driven by a motor” impulse to turn over.
top 3,dyspnoea,I think I’m insanely lucky. I have aphantasia and no internal monologue. I just lay my head down and I’m asleep in moments. I’m sorry so many of you have such a hard time.
top 4,application site erythema,"I listen to guided meditation sleep videos on YouTube or brown noise videos, whichever my brain is craving. My little one (whom I suspect also has ADHD) falls asleep within minutes."
top 4,application site erythema,"I was diagnosed with bipolar and narcolepsy before I was correctly diagnosed with ADHD (which more accurately matched the symptoms they called bipolar) and autism (turns out if I avoid sensory overstimulation I don't have autistic shutdowns, aka the naps I would have to take during the day that they thought were narcolepsy despite having difficulty sleeping)."
top 4,application site erythema,Please consider Non24 disorder. It's quite common for ADHD / ASD to have Delayed Sleep Phase Disorder or even Non24. That's totally fine! You simply should restructure your life according to your biorhythm / genetic fixed needs.
top 4,application site erythema,"Just here to say certain co-morbidities make ADHD stimulants a terrible idea.  Most common presentation of this is making the symptoms of the non-ADHD disorder worse, even dangerous.

Good luck!"
top 4,application site erythema,Also known as Vistaril. I was given this for crippling anxiety a few years ago. I could not tolerate benzos so this is what worked for me. It is an antihistamine.
top 5,hypotension,"too little sleep can increase insulin resistance. additionally, it also results in a significant loss of the benefits of insulin. too little sleep can have a negative impact on lipid levels. also a regular lack of sleep can lead to high blood pressure (hypertension"
top 5,hypotension,"I was diagnosed with bipolar and narcolepsy before I was correctly diagnosed with ADHD (which more accurately matched the symptoms they called bipolar) and autism (turns out if I avoid sensory overstimulation I don't have autistic shutdowns, aka the naps I would have to take during the day that they thought were narcolepsy despite having difficulty sleeping)."
top 5,hypotension,"For me I had dosage problems with blood pressure meds even with small doses. I’d wake up a few hours after I took them with my heart racing because my body was responding to my blood pressure lowering.

My psych who specializes in adhd treatment swears by blood pressure meds for treatment though."
top 5,hypotension,Also known as Vistaril. I was given this for crippling anxiety a few years ago. I could not tolerate benzos so this is what worked for me. It is an antihistamine.
top 5,hypotension,"My therapist told me about the hypo arousal and hyper arousal that our brain experiences (similar to children with ptsd) so he told me no gaming, no phone, no bright lights an hour before bed. It helps a lot"
tail 1,no adverse event,I either fall immediately into a coma or I lay in the darkness tossing and turning... pondering every mistake I have EVER made.. every awkward encounter.  there is no middle ground.
tail 1,no adverse event,I think I’m insanely lucky. I have aphantasia and no internal monologue. I just lay my head down and I’m asleep in moments. I’m sorry so many of you have such a hard time.
tail 1,no adverse event,"Hey. Just saw this post. I've been wanting to read about others experiences with Clonidine.

Just making sure you're OK. Did you end up going to hospital? Chest pain especially in the areas you described aren't ever something you should ignore.

This medication effects blood pressure so stopping cold turkey can be dangerous.

Stay safe please!"
tail 1,no adverse event,"It's not, lol. A diagnosis is the result of the process of assessing that series of symptoms, and allowed to assess in this context is only a medical doctor specialized in the right area"
tail 1,no adverse event,Also known as Vistaril. I was given this for crippling anxiety a few years ago. I could not tolerate benzos so this is what worked for me. It is an antihistamine.
tail 2,condition aggravated,"Just here to say certain co-morbidities make ADHD stimulants a terrible idea.  Most common presentation of this is making the symptoms of the non-ADHD disorder worse, even dangerous.

Good luck!"
tail 2,condition aggravated,"I was diagnosed with bipolar and narcolepsy before I was correctly diagnosed with ADHD (which more accurately matched the symptoms they called bipolar) and autism (turns out if I avoid sensory overstimulation I don't have autistic shutdowns, aka the naps I would have to take during the day that they thought were narcolepsy despite having difficulty sleeping)."
tail 2,condition aggravated,"I think i might feel a little more focused but i am exhausted by the end of the day. 
To answer your question, Wellbutrin doesn't affect serotonin.  It's an NDRI. Wellbutrin and Zoloft are commonly prescribed together"
tail 2,condition aggravated,Also known as Vistaril. I was given this for crippling anxiety a few years ago. I could not tolerate benzos so this is what worked for me. It is an antihistamine.
tail 2,condition aggravated,"I'm on Seroquel's neighbor, Olanzapine.
When I started taking it I would drop dead for 12 hours. Two months later, I became largely tolerant. Antipsychotics are definitely not a long-term solution."
tail 3,electrocardiogram qt prolonged,"For me I had dosage problems with blood pressure meds even with small doses. I’d wake up a few hours after I took them with my heart racing because my body was responding to my blood pressure lowering.

My psych who specializes in adhd treatment swears by blood pressure meds for treatment though."
