rank,side_effect,comment
top 1,anxiety,Addiction
top 1,anxiety,This.
top 1,anxiety,apologize
top 1,anxiety,RIGHT?! 😭
top 1,anxiety,yep
top 2,abnormal behaviour,Addiction
top 2,abnormal behaviour,This.
top 2,abnormal behaviour,apologize
top 2,abnormal behaviour,RIGHT?! 😭
top 2,abnormal behaviour,36mg
top 3,headache,Addiction
top 3,headache,This.
top 3,headache,apologize
top 3,headache,RIGHT?! 😭
top 3,headache,yep
top 4,depression,Addiction
top 4,depression,This.
top 4,depression,apologize
top 4,depression,RIGHT?! 😭
top 4,depression,36mg
top 5,anger,Addiction
top 5,anger,This.
top 5,anger,apologize
top 5,anger,RIGHT?! 😭
top 5,anger,yep
tail 1,dizziness,Side effect? 
tail 1,dizziness,Addiction
tail 1,dizziness,apologize
tail 1,dizziness,This.
tail 1,dizziness,Concerta 36mg
tail 2,no adverse event,Side effect? 
tail 2,no adverse event,27mg with a 10mg Ritalin booster to use if needed.
tail 2,no adverse event,Check your blood pressure it may be high
tail 2,no adverse event,New to stimulants 
tail 2,no adverse event,1mg per kg of weight
tail 3,somnolence,Emotional flattening
tail 3,somnolence,Concerta and Alcohol 
tail 3,somnolence,Side effect? 
tail 3,somnolence,being wrong
tail 3,somnolence,Just crash Anxiety or allergy? 
tail 4,abdominal pain,Side effect? 
tail 4,abdominal pain,Check your blood pressure it may be high
tail 4,abdominal pain,Just crash Anxiety or allergy? 
tail 4,abdominal pain,Just started and huge headache
tail 4,abdominal pain,Extremely horny
tail 5,bradycardia,HELP! Concerta hallucinations 
tail 5,bradycardia,Loss of social inhibitions?
tail 5,bradycardia,Just crash Anxiety or allergy? 
tail 5,bradycardia,New to stimulants 
tail 5,bradycardia,Memory loss on concerta
