rank,side_effect,comment
top 1,anxiety,This
top 1,anxiety,Medication
top 1,anxiety,Psychiatrist*
top 1,anxiety,Precisely!
top 1,anxiety,Constantly
top 2,abnormal behaviour,Psychiatrist*
top 2,abnormal behaviour,Cap
top 2,abnormal behaviour,This
top 2,abnormal behaviour,medication shortages?
top 2,abnormal behaviour,Medication
top 3,headache,This
top 3,headache,Constantly
top 3,headache,Precisely!
top 3,headache,Nice
top 3,headache,Cap
top 4,depression,This
top 4,depression,Psychiatrist*
top 4,depression,Cap
top 4,depression,Constantly
top 4,depression,Medication
top 5,anger,This
top 5,anger,Constantly
top 5,anger,Precisely!
top 5,anger,Cap
top 5,anger,Medication
tail 1,dizziness,Medication
tail 1,dizziness,Florida
tail 1,dizziness,Psychiatrist*
tail 1,dizziness,medication shortages?
tail 1,dizziness,While awake?
tail 2,no adverse event,Low heart rate and blood pressure
tail 2,no adverse event,Any side effects
tail 2,no adverse event,"loss of appetite, extreme dry mouth, light headedness, and erratic heartbeat"
tail 2,no adverse event,Inconsistency with Dexedrine
tail 2,no adverse event,dexedrine status ?
tail 3,abdominal pain,Low heart rate and blood pressure
tail 3,abdominal pain,Any side effects
tail 3,abdominal pain,Dexedrine Sore Throat Remedies?
tail 3,abdominal pain,"loss of appetite, extreme dry mouth, light headedness, and erratic heartbeat"
tail 3,abdominal pain,Dexedrine Rebound Affects?
tail 4,somnolence,Posterity comment
tail 4,somnolence,Any side effects
tail 4,somnolence,"""Absolute life saver."""
tail 4,somnolence,Concerta is shit
tail 4,somnolence,"26, same situation"
tail 5,bradycardia,Dexedrine spansules
tail 5,bradycardia,Dexedrine Rebound Affects?
tail 5,bradycardia,Anxiety attacks on Dexedrine 
tail 5,bradycardia,Low heart rate and blood pressure
tail 5,bradycardia,Dexedrine Tolerance
