rank,side_effect,comment
top 1,abnormal behaviour,"Dexedrine (dextroamphetamine) for ADHD""Have been taking Dexedrine spansules (10 mg) for over 2 years, three times per day. I never knew I had rank ADHD all my life - problems with school, the law. I am 47 and have noticed my ambition for life has increased, having more energy. I used to be tired a lot, complaining, generally overall agitated. At the same time, I have many comorbidities to deal with but fortunately don't have to take any anxiety meds. Dexedrine is all I know, and I am satisfied with the results."""
top 1,abnormal behaviour,"Dexedrine (dextroamphetamine) for ADHD""Great medicine, I recently restarted this medicine after 10 years and I feel normal again. This medicine has given me great peace in my life. I feel calm and collected, and I'm quickly understanding what it's like to have 'free time'. I insist that people who find results using this medicine ensure those in government understand the increase in quality of life we are all experiencing. I've rated this medicine 10/10 purely because any cons I've experienced are meaningless compared to being given a life."""
top 1,abnormal behaviour,"Dexedrine (dextroamphetamine) for ADHD""I was diagnosed with ADHD six months ago. I am 30 years old. My whole life has been a big problem with taking school, finance, and friendship seriously. I have, on the other hand, been a person with a good mood, charm, and a sense of adventure. All these are good qualities you think? Not really. I've developed alcoholism, I've never had a financial surplus, I've lost touch with most of my good friends, and I've never accomplished anything I've set myself the goal of. I began to understand why my life has become so miserable. I started exposing myself to all kinds of things - for the first time I felt solid - a sense of integrity. At the same time, it was a great stress. After a month, I began to think that my whole life had just been a big joke. Before you start taking this medicine: Be prepared to experience identity disorder. NEGATIVE: My hair has gone from thick to thin, my skin is not so smooth anymore, and sometimes sleep can be very difficult."""
top 1,abnormal behaviour,"Dexedrine (dextroamphetamine) for ADHD""I would suggest anyone on this, to stop or take a break once you've noticed your reasoning, memory recall abilities becoming hindered. Even though I'm happy with the benefits of focus, it's not worth losing your short-term memory. Over time, I noticed my math skills declined, followed by my word recall, spelling, and now I can't remember stories or study material. It's extremely debilitating, I'm trying to figure out how to reverse the side effects."""
top 1,abnormal behaviour,"Zenzedi (dextroamphetamine) for ADHD""I'm 37, was diagnosed with ADHD at 9. My parents thought it was rubbish due to my grades and voracious reading, and that my typical ADHD (and ASD) traits were me being lazy, immature, bratty, or oversensitive. After two decades of life failure (grades don't predict success), I sought treatment. Only Zenzedi (NOT any of the generic d-amps) helped reliably with my inability to not procrastinate, interrupt, lose things, feel so overwhelmed that I avoided everything. Unfortunately, there is a shortage of this med and I've heard that it may be discontinued in favor of a new 'non-abusable' IR d,l-amp product by the pharma corp that makes Zenzedi! And like many medical decisions made in this era, citizens have no ability to change the outcome."""
top 2,anxiety,"Dexedrine (dextroamphetamine) for ADHD""Have been taking Dexedrine spansules (10 mg) for over 2 years, three times per day. I never knew I had rank ADHD all my life - problems with school, the law. I am 47 and have noticed my ambition for life has increased, having more energy. I used to be tired a lot, complaining, generally overall agitated. At the same time, I have many comorbidities to deal with but fortunately don't have to take any anxiety meds. Dexedrine is all I know, and I am satisfied with the results."""
top 2,anxiety,"Dexedrine (dextroamphetamine) for ADHD""Great medicine, I recently restarted this medicine after 10 years and I feel normal again. This medicine has given me great peace in my life. I feel calm and collected, and I'm quickly understanding what it's like to have 'free time'. I insist that people who find results using this medicine ensure those in government understand the increase in quality of life we are all experiencing. I've rated this medicine 10/10 purely because any cons I've experienced are meaningless compared to being given a life."""
top 2,anxiety,"Dexedrine (dextroamphetamine)""This drug is incredible. Without this drug, I would not be able to work 45 hours a week. I went on a leave of absence until I got 20 mg. I crave sleep almost all the time when not on this drug. On the Dex, I can get up and get to work. It increases my energy level 3 out of 10. So a 4/10 becomes a 7/10. Which is my max (ok, rarely an 8). I have 1/10 days, usually 2 to 3 days a month, so I skip taking the Dex and sleep 15 hours. I shall add I get zero side effects, so I am very fortunate. The Dex is not a miracle, but it allows me to make $$ for my family. I enjoy working, and I also enjoy some free time. Without it, frankly, my life would be a disaster."""
top 2,anxiety,"Dexedrine (dextroamphetamine) for ADHD""I would suggest anyone on this, to stop or take a break once you've noticed your reasoning, memory recall abilities becoming hindered. Even though I'm happy with the benefits of focus, it's not worth losing your short-term memory. Over time, I noticed my math skills declined, followed by my word recall, spelling, and now I can't remember stories or study material. It's extremely debilitating, I'm trying to figure out how to reverse the side effects."""
top 2,anxiety,"Dexedrine (dextroamphetamine) for ADHD""I was diagnosed with ADHD six months ago. I am 30 years old. My whole life has been a big problem with taking school, finance, and friendship seriously. I have, on the other hand, been a person with a good mood, charm, and a sense of adventure. All these are good qualities you think? Not really. I've developed alcoholism, I've never had a financial surplus, I've lost touch with most of my good friends, and I've never accomplished anything I've set myself the goal of. I began to understand why my life has become so miserable. I started exposing myself to all kinds of things - for the first time I felt solid - a sense of integrity. At the same time, it was a great stress. After a month, I began to think that my whole life had just been a big joke. Before you start taking this medicine: Be prepared to experience identity disorder. NEGATIVE: My hair has gone from thick to thin, my skin is not so smooth anymore, and sometimes sleep can be very difficult."""
