rank,side_effect,comment
top 1,irritability,"""The brand version of Intuniv has been extremely helpful for my son with helping him to moderate his ADHD behaviors. He was diagnosed with the hyperactive subtype, and the problematic behaviors all but disappeared while taking a daily 2mg dose. He has been taking Intuniv for over 4 years now with no observed side-effects."""
top 1,irritability,"""No side effects on my six-year-old the first two weeks except for a tummy ache. The last two nights she has woke up screaming, completely tripping, throwing pillows, scratching her head, hallucinating, and seeing stuff. I do not recommend this pill to anyone, especially a kid. She is on the lowest dose, 1 mg. She won't be taking it anymore!"""
top 1,irritability,"""Intuniv worked terribly for me. I was prescribed it for ADHD, and it caused so many issues and fixed absolutely none. Dry mouth, low blood pressure (and in turn, dizziness and confusion), extreme tiredness no matter how much sleep I got, constipation, ear pain upon standing, painful dry eye, etc. I wouldn’t recommend."""
top 1,irritability,"""I'd give this NEGATIVE stars if I could. It caused me to pass out when I got up to use the bathroom one night. I lost my sense of self, felt more tired than normal, had worse anxiety. I would not recommend this garbage drug."""
top 1,irritability,"""My six-year-old son has been on Intuniv for 6 months. He has had an improvement in mood, attention, and hyperactivity. However, he is tired in the afternoons, and it is hard for him not to fall asleep due to how drowsy he is."""
top 2,dizziness,"""Intuniv worked terribly for me. I was prescribed it for ADHD, and it caused so many issues and fixed absolutely none. Dry mouth, low blood pressure (and in turn, dizziness and confusion), extreme tiredness no matter how much sleep I got, constipation, ear pain upon standing, painful dry eye, etc. I wouldn’t recommend."""
top 2,dizziness,"""I'd give this NEGATIVE stars if I could. It caused me to pass out when I got up to use the bathroom one night. I lost my sense of self, felt more tired than normal, had worse anxiety. I would not recommend this garbage drug."""
top 2,dizziness,"""No side effects on my six-year-old the first two weeks except for a tummy ache. The last two nights she has woke up screaming, completely tripping, throwing pillows, scratching her head, hallucinating, and seeing stuff. I do not recommend this pill to anyone, especially a kid. She is on the lowest dose, 1 mg. She won't be taking it anymore!"""
top 2,dizziness,"""The brand version of Intuniv has been extremely helpful for my son with helping him to moderate his ADHD behaviors. He was diagnosed with the hyperactive subtype, and the problematic behaviors all but disappeared while taking a daily 2mg dose. He has been taking Intuniv for over 4 years now with no observed side-effects."""
top 2,dizziness,"""I’ve been experiencing side effects that make my day-to-day life very difficult. I’m dizzy, I feel like my vision is blacking out when I walk, I’m extremely lethargic, and find myself sleeping all the time. I’ve been having stomach problems, a high heartbeat (and I thought Intuniv was supposed to subdue you), an extremely dry mouth, and so much anxiety. I haven’t even noticed any positive changes in my ability to focus since I’m constantly disoriented or asleep."""
top 3,dyspnoea,"""Intuniv worked terribly for me. I was prescribed it for ADHD, and it caused so many issues and fixed absolutely none. Dry mouth, low blood pressure (and in turn, dizziness and confusion), extreme tiredness no matter how much sleep I got, constipation, ear pain upon standing, painful dry eye, etc. I wouldn’t recommend."""
top 3,dyspnoea,"""The brand version of Intuniv has been extremely helpful for my son with helping him to moderate his ADHD behaviors. He was diagnosed with the hyperactive subtype, and the problematic behaviors all but disappeared while taking a daily 2mg dose. He has been taking Intuniv for over 4 years now with no observed side-effects."""
top 3,dyspnoea,"""No side effects on my six-year-old the first two weeks except for a tummy ache. The last two nights she has woke up screaming, completely tripping, throwing pillows, scratching her head, hallucinating, and seeing stuff. I do not recommend this pill to anyone, especially a kid. She is on the lowest dose, 1 mg. She won't be taking it anymore!"""
top 3,dyspnoea,"""My six-year-old son has been on Intuniv for 6 months. He has had an improvement in mood, attention, and hyperactivity. However, he is tired in the afternoons, and it is hard for him not to fall asleep due to how drowsy he is."""
