rank,side_effect,comment
top 1,abnormal behaviour,"""Intuniv worked terribly for me. I was prescribed it for ADHD, and it caused so many issues and fixed absolutely none. Dry mouth, low blood pressure (and in turn, dizziness and confusion), extreme tiredness no matter how much sleep I got, constipation, ear pain upon standing, painful dry eye, etc. I wouldn’t recommend."""
top 1,abnormal behaviour,"""I would like to share my experience with Intuniv for those specifically with comorbid ADHD/Bipolar. It initially improved working memory (easier to take time to perform tasks such as not jumping ahead while reading), then, as it works on 2A receptors, created a DECREASED DESIRE to perform the tasks. Essentially, it lowers NE. So, lower motivation, which nearly completely negates the easier task performance. THIS IS A COMMON THREAD. Therefore, works better in conjunction with stims. It also created depersonalization. Finally, it caused a unique mixed episode with grandiosity and irritability, but psychomotor retardation and grumpiness. Think increased prefrontal, decreased limbic. Bipolars BEWARE. We are different than strict ADHD cases."""
top 1,abnormal behaviour,"""Male adult ADHD, mostly inattentive (but restless on the inside!), also bipolar type 2. I was on Ritalin for about a year and had a lot of problems with a dry and stuffy nose with frequent infections. Atomoxetine had similar effects: sleepy, nasal stuffiness, premature ejaculation (only ejaculation was premature). Intuniv actually reversed nasal dryness, my nose never felt better. Intuniv has both stimulating and calming effects, and my mood generally is better. I have more frequent urination at night, I often have to get up at 5 a.m. to go to the bathroom. Sometimes it is hard to get back to sleep, but then usually instant-release Clonidine helps (Clonidine has helped for problems with insomnia). I have NOT had any problems with sexual side effects on Intuniv, which is great. Perhaps only a slight increase in libido, but it could be due to improvement in mood as well. Appetite is normal, it has helped me lose a little weight. Ritalin used to give me increased hunger and sugar cravings."""
top 1,abnormal behaviour,"""I don't recommend taking this drug, Intuniv. 18 male, 63 kg, 170 cm. Was prescribed for my ADHD and anxiety, 2 mg. All the way, first 2 weeks only tired, but concentration improved. 3rd week was real bad, I got extremely anxious, random panic attacks all the time, heart pain, dark thoughts, started crying every other hour, was exhausted and irritated, also lost control of my emotions, got angry out of nowhere. And worst of it was that I forgot who I was sometimes, panicked because I couldn’t remember my parents. Please don’t take this drug, look for something else, stimulants or whatever, but Intuniv can destroy your life or make it much worse."""
top 1,abnormal behaviour,"""I would rate Intuniv an 11 if possible. My son is Autistic & ADHD, began taking Intuniv at age 10. The 1st week he took it was 1st time in his life he slept through the night for an entire week. He must take in AM, not PM. Now age 18, just returned to brand, as generic was a disaster. Intuniv = miracle."""
top 2,anxiety,"""Intuniv worked terribly for me. I was prescribed it for ADHD, and it caused so many issues and fixed absolutely none. Dry mouth, low blood pressure (and in turn, dizziness and confusion), extreme tiredness no matter how much sleep I got, constipation, ear pain upon standing, painful dry eye, etc. I wouldn’t recommend."""
top 2,anxiety,"""I don't recommend taking this drug, Intuniv. 18 male, 63 kg, 170 cm. Was prescribed for my ADHD and anxiety, 2 mg. All the way, first 2 weeks only tired, but concentration improved. 3rd week was real bad, I got extremely anxious, random panic attacks all the time, heart pain, dark thoughts, started crying every other hour, was exhausted and irritated, also lost control of my emotions, got angry out of nowhere. And worst of it was that I forgot who I was sometimes, panicked because I couldn’t remember my parents. Please don’t take this drug, look for something else, stimulants or whatever, but Intuniv can destroy your life or make it much worse."""
top 2,anxiety,"""Day 2, and I already feel my mood is better, it’s helping my anxiety. I feel calm, most of all happy, it just makes you feel so happy. I’m laughing and enjoying my day. I was compelled to leave a review because it’s working so well. I have anxiety, OCD, depression, and ADHD. This med is amazing."""
top 2,anxiety,"""I’ve been experiencing side effects that make my day-to-day life very difficult. I’m dizzy, I feel like my vision is blacking out when I walk, I’m extremely lethargic, and find myself sleeping all the time. I’ve been having stomach problems, a high heartbeat (and I thought Intuniv was supposed to subdue you), an extremely dry mouth, and so much anxiety. I haven’t even noticed any positive changes in my ability to focus since I’m constantly disoriented or asleep."""
top 2,anxiety,"""I'd give this NEGATIVE stars if I could. It caused me to pass out when I got up to use the bathroom one night. I lost my sense of self, felt more tired than normal, had worse anxiety. I would not recommend this garbage drug."""
