rank,side_effect,comment
top 1,abnormal behaviour,"""My daughter has tried several other stimulant medicines with the most horrible side effects. Kapvay was tried and very well appreciated in our home and at her school. The teachers were amazed at the change and the relief for myself was a Godsend."""
top 1,abnormal behaviour,"""I started my son on this medicine on Friday. He is doing well. No emotional breakdowns, no crying. The only issue I am having is he is falling asleep around noon every day. He hasn't had a nap since he was 16 months old. He is 7, going on 8. I can't imagine his teacher will be all that amused when he goes to sleep during class tomorrow."""
top 1,abnormal behaviour,"""My 6-year-old tried this after Intuniv failed. It made him constantly tired and irritable, and actually made his impulsiveness worse since he just seemed cranky and emotional all of the time. It also constipated him to the point that he ended up with fissures. It never made a meaningful dent in his ability to concentrate or sit still, and he became more argumentative in school and less willing to comply. I've yet to meet anyone that these work for, but it sure would be nice if there were a non-stimulant that worked. We're on stimulants now and still haven't found a miracle there, either. I will say that it didn't affect his appetite, which was nice."""
top 1,abnormal behaviour,"""My 6-year-old son was diagnosed with ADHD last year. I saw signs during the preschool years as he was kicked out of three schools. This has been a trying year as we started him on Concerta, Focalin 2.5, and Focalin ER. Intuniv: Although the stimulants were great and we saw the benefits, it was difficult for me to see the negative side effects (tics and meltdown). I had mentioned to my doctor a month ago about Clonidine to reduce side effects of stimulants. She declined as she was uncomfortable with providing adult medication to children. However, she contacted me about Kapvay, which has been wonderful. Day 6 and a bit sleepy, unlike Intuniv (sedated). I will keep you up to date."""
top 1,abnormal behaviour,"""We have an 8-year-old who we adopted from foster care last year. He was diagnosed with ADHD soon after. He was put on Concerta. We saw definite improvement. But early this year, he started exhibiting increased symptoms of ADHD. He could not fall asleep until late, so we used Melatonin. His doctor started him on Kapvay about 5 weeks ago. We started seeing a great improvement the first week because he fell asleep without Melatonin and started getting 10 hours of sleep. The second week, we added the morning dose. Mornings immediately became incredible. We no longer needed checklists for him. The teacher said he still needed better focus, so he is now on 0.3mg. He is doing incredibly well. His doctor is going to wean him down on Concerta."""
top 2,anxiety,"""My daughter has tried several other stimulant medicines with the most horrible side effects. Kapvay was tried and very well appreciated in our home and at her school. The teachers were amazed at the change and the relief for myself was a Godsend."""
top 2,anxiety,"""I started my son on this medicine on Friday. He is doing well. No emotional breakdowns, no crying. The only issue I am having is he is falling asleep around noon every day. He hasn't had a nap since he was 16 months old. He is 7, going on 8. I can't imagine his teacher will be all that amused when he goes to sleep during class tomorrow."""
top 2,anxiety,"""My 6-year-old tried this after Intuniv failed. It made him constantly tired and irritable, and actually made his impulsiveness worse since he just seemed cranky and emotional all of the time. It also constipated him to the point that he ended up with fissures. It never made a meaningful dent in his ability to concentrate or sit still, and he became more argumentative in school and less willing to comply. I've yet to meet anyone that these work for, but it sure would be nice if there were a non-stimulant that worked. We're on stimulants now and still haven't found a miracle there, either. I will say that it didn't affect his appetite, which was nice."""
top 2,anxiety,"""I'm a 44-year-old female, was in a car accident. Placed on pain meds for the last year. Had two surgeries, and now I ask the doctor to help me get off pain meds. He prescribed me Kapvay 0.01 mg. It has been a Godsend. It allowed me to sleep and took the edge off my withdrawals... thanks."""
top 2,anxiety,"""Depression for fifteen months hinged on the fact that my inattention was so bad. Every day it was constantly 'OH MY GOD, CAN'T DO ANYTHING.' I had so many motivations and ambitions for projects and was so overwhelmed by ADHD that I could not do any of it. All I can say is that I am really disappointed with Strattera... I fought and fought to get a stimulant to no avail, and they finally gave me Kapvay for bedtime. It's been two weeks, and my depression has finally lifted because my inattention and distraction are gone. They are symbiotic with each other. And now I can DO STUFF and not have to binge-watch Impractical Jokers anymore. To ADHD, I stand atop a tram in a superhero costume and say 'SUCK IT!!!'"""
