rank,side_effect,comment
top 1,irritability,"This was helpful! Thank you :) If you had anxiety with your ADHD, did you find it helped you in that regard as well? I deal with a lot of overstimulation issues which leads to panic attacks -\_\_- All nervous system dysfunction stuff"
top 1,irritability,"I was diagnosed with severe adhd and it is absolutely debilitating. Not to mention the other co-morbid conditions I have such as anxiety, depression, and dyspraxia. I hate it when social media portrays adhd as this cute quirky trait that just happens to be in style."
top 1,irritability,">an executive functioning disorder that my doctors treat with stimulants

This ^ should be the official term. Wouldn't surprise me people on this thread will use it in the future. No more direct stigma."
top 1,irritability,"Any sexual side-effects? I’m currently on adderall and would like to try this as an add-on for ameliorating elevated blood pressure & anxiety, but I’m worried the A2 agonism would mess with erection quality. Have you (or anyone else who happens upon this question) experienced anything like that from the guanfacine?"
top 1,irritability,"Be very cautious with guanfacine, it is a med originally meant to influence your cardiovascular system after all. It gave me super slow heartbeat and VERY low blood pressure in higher doses and started to negatively affect the effectiveness of Vyvanse too."
top 2,dizziness,"This was helpful! Thank you :) If you had anxiety with your ADHD, did you find it helped you in that regard as well? I deal with a lot of overstimulation issues which leads to panic attacks -\_\_- All nervous system dysfunction stuff"
top 2,dizziness,"Be very cautious with guanfacine, it is a med originally meant to influence your cardiovascular system after all. It gave me super slow heartbeat and VERY low blood pressure in higher doses and started to negatively affect the effectiveness of Vyvanse too."
top 2,dizziness,">an executive functioning disorder that my doctors treat with stimulants

This ^ should be the official term. Wouldn't surprise me people on this thread will use it in the future. No more direct stigma."
top 2,dizziness,"I was diagnosed with severe adhd and it is absolutely debilitating. Not to mention the other co-morbid conditions I have such as anxiety, depression, and dyspraxia. I hate it when social media portrays adhd as this cute quirky trait that just happens to be in style."
top 2,dizziness,"I hear you about the trouble with executive dysfunction, time blindness, and for me, emotional dysregulation.  Like you, when things come up unexpectedly I can get derailed for the rest of the day."
top 3,dyspnoea,"This was helpful! Thank you :) If you had anxiety with your ADHD, did you find it helped you in that regard as well? I deal with a lot of overstimulation issues which leads to panic attacks -\_\_- All nervous system dysfunction stuff"
top 3,dyspnoea,"Be very cautious with guanfacine, it is a med originally meant to influence your cardiovascular system after all. It gave me super slow heartbeat and VERY low blood pressure in higher doses and started to negatively affect the effectiveness of Vyvanse too."
top 3,dyspnoea,"I was diagnosed with severe adhd and it is absolutely debilitating. Not to mention the other co-morbid conditions I have such as anxiety, depression, and dyspraxia. I hate it when social media portrays adhd as this cute quirky trait that just happens to be in style."
top 3,dyspnoea,"I have a double met COMT mutation which means I am a poor processor of norepinephrine. Hence the hitters and hard crashes I've been getting. Guanfacine antagonize the alpha a2 receptor which drops the norepinephrine in your system hence its effect lowering blood pressure, calming the sympathetic nervous system, and reducing anxiety."
top 3,dyspnoea,"I hear you about the trouble with executive dysfunction, time blindness, and for me, emotional dysregulation.  Like you, when things come up unexpectedly I can get derailed for the rest of the day."
top 4,application site erythema,"This was helpful! Thank you :) If you had anxiety with your ADHD, did you find it helped you in that regard as well? I deal with a lot of overstimulation issues which leads to panic attacks -\_\_- All nervous system dysfunction stuff"
top 4,application site erythema,"I was diagnosed with severe adhd and it is absolutely debilitating. Not to mention the other co-morbid conditions I have such as anxiety, depression, and dyspraxia. I hate it when social media portrays adhd as this cute quirky trait that just happens to be in style."
top 4,application site erythema,"Be very cautious with guanfacine, it is a med originally meant to influence your cardiovascular system after all. It gave me super slow heartbeat and VERY low blood pressure in higher doses and started to negatively affect the effectiveness of Vyvanse too."
top 4,application site erythema,"Any sexual side-effects? I’m currently on adderall and would like to try this as an add-on for ameliorating elevated blood pressure & anxiety, but I’m worried the A2 agonism would mess with erection quality. Have you (or anyone else who happens upon this question) experienced anything like that from the guanfacine?"
top 4,application site erythema,"The amount of self diagnosed ADHD, BPD, ASD and AID has caused some clinics in my area to refuse to diagnose new patients.   I was surprised to hear it’s that prevalent."
top 5,hypotension,"This was helpful! Thank you :) If you had anxiety with your ADHD, did you find it helped you in that regard as well? I deal with a lot of overstimulation issues which leads to panic attacks -\_\_- All nervous system dysfunction stuff"
top 5,hypotension,"Be very cautious with guanfacine, it is a med originally meant to influence your cardiovascular system after all. It gave me super slow heartbeat and VERY low blood pressure in higher doses and started to negatively affect the effectiveness of Vyvanse too."
top 5,hypotension,"I have a double met COMT mutation which means I am a poor processor of norepinephrine. Hence the hitters and hard crashes I've been getting. Guanfacine antagonize the alpha a2 receptor which drops the norepinephrine in your system hence its effect lowering blood pressure, calming the sympathetic nervous system, and reducing anxiety."
