side_effect,comment,drug
irritability,"I was diagnosed with bipolar and narcolepsy before I was correctly diagnosed with ADHD (which more accurately matched the symptoms they called bipolar) and autism (turns out if I avoid sensory overstimulation I don't have autistic shutdowns, aka the naps I would have to take during the day that they thought were narcolepsy despite having difficulty sleeping).",clonidine
irritability,"I think i might feel a little more focused but i am exhausted by the end of the day. 
To answer your question, Wellbutrin doesn't affect serotonin.  It's an NDRI. Wellbutrin and Zoloft are commonly prescribed together",clonidine
irritability,"I listen to guided meditation sleep videos on YouTube or brown noise videos, whichever my brain is craving. My little one (whom I suspect also has ADHD) falls asleep within minutes.",clonidine
irritability,I fall asleep easily but toss and turn all night. Fall back asleep fine but in pain because of the positions I get into. I feel that “driven by a motor” impulse to turn over.,clonidine
irritability,Also known as Vistaril. I was given this for crippling anxiety a few years ago. I could not tolerate benzos so this is what worked for me. It is an antihistamine.,clonidine
dizziness,I fall asleep easily but toss and turn all night. Fall back asleep fine but in pain because of the positions I get into. I feel that “driven by a motor” impulse to turn over.,clonidine
dizziness,Also known as Vistaril. I was given this for crippling anxiety a few years ago. I could not tolerate benzos so this is what worked for me. It is an antihistamine.,clonidine
dizziness,"I listen to guided meditation sleep videos on YouTube or brown noise videos, whichever my brain is craving. My little one (whom I suspect also has ADHD) falls asleep within minutes.",clonidine
dizziness,"Just here to say certain co-morbidities make ADHD stimulants a terrible idea.  Most common presentation of this is making the symptoms of the non-ADHD disorder worse, even dangerous.

Good luck!",clonidine
dizziness,Please consider Non24 disorder. It's quite common for ADHD / ASD to have Delayed Sleep Phase Disorder or even Non24. That's totally fine! You simply should restructure your life according to your biorhythm / genetic fixed needs.,clonidine
dyspnoea,"I was diagnosed with bipolar and narcolepsy before I was correctly diagnosed with ADHD (which more accurately matched the symptoms they called bipolar) and autism (turns out if I avoid sensory overstimulation I don't have autistic shutdowns, aka the naps I would have to take during the day that they thought were narcolepsy despite having difficulty sleeping).",clonidine
dyspnoea,"I listen to guided meditation sleep videos on YouTube or brown noise videos, whichever my brain is craving. My little one (whom I suspect also has ADHD) falls asleep within minutes.",clonidine
dyspnoea,Also known as Vistaril. I was given this for crippling anxiety a few years ago. I could not tolerate benzos so this is what worked for me. It is an antihistamine.,clonidine
dyspnoea,I fall asleep easily but toss and turn all night. Fall back asleep fine but in pain because of the positions I get into. I feel that “driven by a motor” impulse to turn over.,clonidine
dyspnoea,I think I’m insanely lucky. I have aphantasia and no internal monologue. I just lay my head down and I’m asleep in moments. I’m sorry so many of you have such a hard time.,clonidine
application site erythema,"I listen to guided meditation sleep videos on YouTube or brown noise videos, whichever my brain is craving. My little one (whom I suspect also has ADHD) falls asleep within minutes.",clonidine
application site erythema,"I was diagnosed with bipolar and narcolepsy before I was correctly diagnosed with ADHD (which more accurately matched the symptoms they called bipolar) and autism (turns out if I avoid sensory overstimulation I don't have autistic shutdowns, aka the naps I would have to take during the day that they thought were narcolepsy despite having difficulty sleeping).",clonidine
