index,Drug Name,Review Text,cleaned_comments,side_effects
2,concerta,"""Having suffered with depression and ADHD as an adult, honestly this medication is a godsend. I'm only on 18mg (Extended release) and take it with Wellbutrin (for the depression) and I must say it's a life changer! The extended release makes a big difference - blood levels are more stable. No more emotional moods, no more crying, no more feeling like dying, no more negative thoughts. Also, you can concentrate for long periods of time and not get frustrated and be very clear-minded. I can study for 6 hours straight! After trying so many medications, this just works. Side effects: Fast heartbeat, lots of energy, and maybe a libido boost. Really good for adult ADHD and depression. Please note. Everyone is different. You might have a different experience.""",having suffered with depression and adhd as an adult honestly this medication is a godsend im only on mg extended release and take it with wellbutrin for the depression and i must say its a life changer the extended release makes a big difference blood levels are more stable no more emotional moods no more crying no more feeling like dying no more negative thoughts also you can concentrate for long periods of time and not get frustrated and be very clear minded i can study for hours straight after trying so many medications this just works side effects fast heartbeat lots of energy and maybe a libido boost really good for adult adhd and depression please note everyone is different you might have a different experience,[]
3,concerta,"""I am 54, been taking methylphenidate (Ritalin first, then Concerta) for 14 years. I decided to come off cold turkey to see if the doctor made a misdiagnosis, lol. After a month, I was sleeping in the woods, homeless, driving a Mercedes Benz, when I realized something was wrong! I am on meds for the second day now, and after an hour, I could feel myself becoming emotionally and mentally comfortable. I couldn’t stop running for an outside solution to an inside problem. I could not focus, could not engage at work, so I didn’t work, therefore, everything started to crash down around me. I almost lost everything I had and loved. ADHD for me is here to stay! I will end with this: I have no chance at a normal life without the help of medication!""",i am been taking methylphenidate ritalin first then concerta for years i decided to come off cold turkey to see if the doctor made a misdiagnosis lol after a month i was sleeping in the woods homeless driving a mercedes benz when i realized something was wrong i am on meds for the second day now and after an hour i could feel myself becoming emotionally and mentally comfortable i couldnt stop running for an outside solution to an inside problem i could not focus could not engage at work so i didnt work therefore everything started to crash down around me i almost lost everything i had and loved adhd for me is here to stay i will end with this i have no chance at a normal life without the help of medication,[]
11,concerta,"""Since starting on Concerta, I have been able to effectively get my life together. I am no longer impulsive, hyper, inattentive, or anxious. The last two years have been the best I've ever experienced. I struggled with procrastination and mood issues prior to being medicated for ADHD. Past inaccurate diagnosis caused doctors to label my ADHD-I with a number of false mental health issues. The wrong medications caused a lot of damage in my personal life. Now, I have finally been able to get my life together. Concerta is a very good medication for those with ADHD/ADHD-I.""",since starting on concerta i have been able to effectively get my life together i am no longer impulsive hyper inattentive or anxious the last two years have been the best ive ever experienced i struggled with procrastination and mood issues prior to being medicated for adhd past inaccurate diagnosis caused doctors to label my adhd i with a number of false mental health issues the wrong medications caused a lot of damage in my personal life now i have finally been able to get my life together concerta is a very good medication for those with adhdadhd i,[]
15,concerta,"""Ok, this is where I am after two weeks. I'm turning 54 one of these days, Managing Director of my company, and self-diagnosed with ADHD about a month ago. I matched ALL the criteria. Went to see a doctor and he confirmed my suspicions. I relayed my struggles with studies at University and he referred to me attaining two degrees as a 'miracle.' I cannot begin to explain how difficult studying was, not to mention having to sit through hours of lectures. There was no - and I stress - NO filter between my brain, mind, and my mouth. Anger, profanity, and impulse behavior was only curbed by my life-long ability to fall asleep anywhere, anytime. Imagine an alien being in charge for 53 years. It's all gone. Why did no one help me with this before?""",ok this is where i am after two weeks im turning one of these days managing director of my company and self diagnosed with adhd about a month ago i matched all the criteria went to see a doctor and he confirmed my suspicions i relayed my struggles with studies at university and he referred to me attaining two degrees as a miracle i cannot begin to explain how difficult studying was not to mention having to sit through hours of lectures there was no and i stress no filter between my brain mind and my mouth anger profanity and impulse behavior was only curbed by my life long ability to fall asleep anywhere anytime imagine an alien being in charge for years its all gone why did no one help me with this before,['drug ineffective']
20,concerta,"""I started Concerta when I was in 7th grade. I am now 14, and I started off with 36mg. Now I am on 54mg. At first, I had a big boost in my grades! I started getting A's! This year, I have been noticing in school that I have been more anxious, depressed, not hungry during the day, and a little bit socially awkward. I am trying to deal with my side effects. I am going to the doctor soon about Concerta. You are not alone.""",i started concerta when i was in th grade i am now and i started off with mg now i am on mg at first i had a big boost in my grades i started getting as this year i have been noticing in school that i have been more anxious depressed not hungry during the day and a little bit socially awkward i am trying to deal with my side effects i am going to the doctor soon about concerta you are not alone,[]
24,concerta,"""I am in my early thirties and very recently started drug trials for ADHD. After trying Vyvanse, which didn't work out, I moved to Concerta. On the lowest dose, I had concerns, as it seemed to make my ADHD symptoms worse. I became more irritable and more distracted. After a week, I moved the dose up to the next level and had a terrible day. Extremely irritable, so lethargic I could do almost nothing all day, difficult time sleeping... I had difficulty dealing with my children if they did the slightest thing wrong. Concerta is not for me, I will try something else.""",i am in my early thirties and very recently started drug trials for adhd after trying vyvanse which didnt work out i moved to concerta on the lowest dose i had concerns as it seemed to make my adhd symptoms worse i became more irritable and more distracted after a week i moved the dose up to the next level and had a terrible day extremely irritable so lethargic i could do almost nothing all day difficult time sleeping i had difficulty dealing with my children if they did the slightest thing wrong concerta is not for me i will try something else,[]
25,concerta,"""For most of my life, I have drifted in and out of employment. Being told I am a daydreamer and missing out on things most people would spot a mile off (dates, small details on forms, cleaning, rota, etc.). A few months after starting this medication, I also started a job! In immigration, so a lot of paperwork, extensive training, long shifts, and difficult customers. Almost a month in, and I’m getting appraisals, 100% on most of my work, always on time, and never miss a beat! I am 30 years old, and I could cry. This has literally changed my life. In the first week, you will experience jaw clenching, etc., but it settles. I am taking two tablets of 18 mg a day. Sorry to those that have experienced bad side effects, it’s trial and error, and maybe your chemistry does not align with the medicine, but that’s okay-keep trying!""",for most of my life i have drifted in and out of employment being told i am a daydreamer and missing out on things most people would spot a mile off dates small details on forms cleaning rota etc a few months after starting this medication i also started a job in immigration so a lot of paperwork extensive training long shifts and difficult customers almost a month in and im getting appraisals on most of my work always on time and never miss a beat i am years old and i could cry this has literally changed my life in the first week you will experience jaw clenching etc but it settles i am taking two tablets of mg a day sorry to those that have experienced bad side effects its trial and error and maybe your chemistry does not align with the medicine but thats okay keep trying,[]
26,concerta,"""I grew up with severe panic attacks. When I was 19, up until the age of 27, I stayed in my room. I couldn't leave my house. I had/have severe anxiety and depression. Years went by and I lost hope. I didn't have a job, I was a loser. I took a mindfulness class and after each mindfulness tape, I noticed I was in extreme pain, more so than the other people sitting around me. It was then that I was diagnosed with fibromyalgia. I was prescribed Adderall and Vyvanse for my ADHD but they made me extremely tired. Currently, I am on Cymbalta, Concerta, and Remeron. With this combination, I began a full-time job. I have been employed for 7 months, and I would be lost without Concerta. If you're looking for a drug that is similar to Wellbutrin, Concerta is the answer. Do not give up hope. Never give up hope. Don't take 'no' for an answer, and if a doctor is diagnosing you incorrectly, leave and find a different doctor. There is a right combination of medication out there for you. Never give up!""",i grew up with severe panic attacks when i was up until the age of i stayed in my room i couldnt leave my house i hadhave severe anxiety and depression years went by and i lost hope i didnt have a job i was a loser i took a mindfulness class and after each mindfulness tape i noticed i was in extreme pain more so than the other people sitting around me it was then that i was diagnosed with fibromyalgia i was prescribed adderall and vyvanse for my adhd but they made me extremely tired currently i am on cymbalta concerta and remeron with this combination i began a full time job i have been employed for months and i would be lost without concerta if youre looking for a drug that is similar to wellbutrin concerta is the answer do not give up hope never give up hope dont take no for an answer and if a doctor is diagnosing you incorrectly leave and find a different doctor there is a right combination of medication out there for you never give up,[]
27,concerta,"""When I was about 13, the school psychologist who I was seeing for behavior problems suggested to my mother that I start taking Ritalin. I was hyperactive, could not focus, blurted things out, and was generally viewed as a weirdo by my peers. My mother refused to follow the psychologist's advice because she 'didn't want me on medicines'. The same diagnosis and suggested treatment followed the next year and the year after by the psychiatrist who I was referred to. Eventually, I dropped out of school, somehow managed to get my GED, and enroll in college. I decided a few years ago to see a doctor and he prescribed Concerta. I am now able to follow through on projects and not feel like a failure, frustrated all the time. It has really worked for me.""",when i was about the school psychologist who i was seeing for behavior problems suggested to my mother that i start taking ritalin i was hyperactive could not focus blurted things out and was generally viewed as a weirdo by my peers my mother refused to follow the psychologists advice because she didnt want me on medicines the same diagnosis and suggested treatment followed the next year and the year after by the psychiatrist who i was referred to eventually i dropped out of school somehow managed to get my ged and enroll in college i decided a few years ago to see a doctor and he prescribed concerta i am now able to follow through on projects and not feel like a failure frustrated all the time it has really worked for me,[]
29,concerta,"""Worked for me the first year I took it but then it started to have really bad side effects. I have ADD but I don't have hyperactivity and I was getting socially awkward and having anxiety and even depression. I don't recommend it for someone who's not hyperactive.""",worked for me the first year i took it but then it started to have really bad side effects i have add but i dont have hyperactivity and i was getting socially awkward and having anxiety and even depression i dont recommend it for someone whos not hyperactive,[]
