rank,side_effect,comment
top 1,irritability,"""I have been taking Qelbree for a week and a half, and I have experienced bipolar symptoms, constant anxiety attacks, random episodes of crying, constant and persistent suicidal thoughts, constant feelings of nausea, and extreme irritability. I also have insomnia. None of these symptoms occurred before I started on Qelbree. Please don’t take this. It turned my life into a living hell."""
top 1,irritability,"""My 14-year-old son tried Qelbree, and it was a nightmare. He was tired, irritable, and constipated. He developed a dry cough, dry mouth, and a red rash on his face, as well as nosebleeds. It also did not help his ADHD symptoms."""
top 1,irritability,"No personal or anecdotal experience, no knowledge of the effects of withdrawal in children, and not a doctor or pediatrician - but I've been on Qelbree's side effect webpage to look at the most common side effects in individuals aged 6-17 and individuals aged 18+. As you can see, headaches and migraines don't make the common side effect list for kids: https://www.qelbreehcp.com/side-effects"
top 1,irritability,"""Please take the black box warnings on this drug seriously. Suicidality side effects are coming back at a higher rate than any other ADHD drug within the FDA AERs database. This drug has mediocre efficacy data, and the risks are very real."""
top 1,irritability,"I already take a fiber supplement because I am on 8mg Suboxone twice a day so I’m familiar with the constipation. But I drink deathwish coffee twice a day, sometimes sipping on it all day long. Would the caffeine have the adverse effect while on Q?"
top 2,dizziness,"""I have been taking Qelbree for a week and a half, and I have experienced bipolar symptoms, constant anxiety attacks, random episodes of crying, constant and persistent suicidal thoughts, constant feelings of nausea, and extreme irritability. I also have insomnia. None of these symptoms occurred before I started on Qelbree. Please don’t take this. It turned my life into a living hell."""
top 2,dizziness,"""My 14-year-old son tried Qelbree, and it was a nightmare. He was tired, irritable, and constipated. He developed a dry cough, dry mouth, and a red rash on his face, as well as nosebleeds. It also did not help his ADHD symptoms."""
top 2,dizziness,"i had the same experience as the above comment and i sleep pretty well now. it is harder to fall asleep than not being on it, but i can bang out 8 hrs of sleep no problem."
top 2,dizziness,"""Please take the black box warnings on this drug seriously. Suicidality side effects are coming back at a higher rate than any other ADHD drug within the FDA AERs database. This drug has mediocre efficacy data, and the risks are very real."""
top 2,dizziness,"I already take a fiber supplement because I am on 8mg Suboxone twice a day so I’m familiar with the constipation. But I drink deathwish coffee twice a day, sometimes sipping on it all day long. Would the caffeine have the adverse effect while on Q?"
top 3,dyspnoea,"""I have been taking Qelbree for a week and a half, and I have experienced bipolar symptoms, constant anxiety attacks, random episodes of crying, constant and persistent suicidal thoughts, constant feelings of nausea, and extreme irritability. I also have insomnia. None of these symptoms occurred before I started on Qelbree. Please don’t take this. It turned my life into a living hell."""
top 3,dyspnoea,"""My 14-year-old son tried Qelbree, and it was a nightmare. He was tired, irritable, and constipated. He developed a dry cough, dry mouth, and a red rash on his face, as well as nosebleeds. It also did not help his ADHD symptoms."""
top 3,dyspnoea,"I already take a fiber supplement because I am on 8mg Suboxone twice a day so I’m familiar with the constipation. But I drink deathwish coffee twice a day, sometimes sipping on it all day long. Would the caffeine have the adverse effect while on Q?"
top 3,dyspnoea,"No personal or anecdotal experience, no knowledge of the effects of withdrawal in children, and not a doctor or pediatrician - but I've been on Qelbree's side effect webpage to look at the most common side effects in individuals aged 6-17 and individuals aged 18+. As you can see, headaches and migraines don't make the common side effect list for kids: https://www.qelbreehcp.com/side-effects"
top 3,dyspnoea,"i had the same experience as the above comment and i sleep pretty well now. it is harder to fall asleep than not being on it, but i can bang out 8 hrs of sleep no problem."
top 4,application site erythema,"""My 14-year-old son tried Qelbree, and it was a nightmare. He was tired, irritable, and constipated. He developed a dry cough, dry mouth, and a red rash on his face, as well as nosebleeds. It also did not help his ADHD symptoms."""
top 4,application site erythema,I’ve read Prozac & Zoloft are similar & both activating than the other SSRI’s. U think being a nymph came from the lower Dopamine in your system with the ADD or just always sexual??
