drug,side_effect,score
concerta,drug ineffective,5.573904710365277
concerta,nausea,4.752373503703698
concerta,fatigue,4.749732906035348
concerta,somnolence,6.022658745739974
concerta,headache,4.760242795827342
concerta,vomiting,5.561712970044099
concerta,insomnia,5.903419527060845
concerta,dizziness,6.246092368574703
concerta,abnormal,4.821212480173392
concerta,suicidal ideation,5.850523694180975
concerta,depression,4.9113443496764875
concerta,anxiety,4.763359514229437
concerta,aggression,4.719566611974847
concerta,abnormal behaviour,5.689605482068716
concerta,abdominal pain,5.782933816021564
concerta,decreased appetite,5.82918851632698
concerta,disturbance in attention,5.687156431815203
concerta,irritability,6.276840191261441
concerta,hypotension,6.122794353786636
concerta,bradycardia,6.081341673053948
concerta,no adverse event,0.6612633057669097
concerta,electrocardiogram qt prolonged,3.184091378076404
concerta,toxicity to various agents,5.7851893974869855
concerta,agitation,4.881273099312596
concerta,pain,4.658466480818449
concerta,hypertension,5.995013478047708
concerta,dyspnoea,6.154816259648286
concerta,chronic kidney disease,5.729756753234303
concerta,diarrhoea,5.711942925757053
concerta,renal failure,5.880290773569369
concerta,blood pressure increased,5.894982418885418
concerta,acute kidney injury,5.786985867455893
concerta,asthenia,5.743935111398789
concerta,death,4.671784720876638
concerta,fall,4.882693300060198
concerta,suicide,4.6474214275093635
concerta,rash,5.871781022525301
concerta,weight increased,5.511515468066815
concerta,malaise,5.891363820316744
concerta,migraine,5.832959580363012
concerta,anger,4.767447619753725
concerta,withdrawal syndrome,5.62921892194187
concerta,seizure,4.656248577669555
concerta,application site erythema,6.111290145154093
concerta,condition aggravated,1.9004997575984282
concerta,weight decreased,5.673374918746013
ritalin,drug ineffective,5.539584674742181
ritalin,nausea,4.736395428807749
ritalin,fatigue,4.7343225077225295
ritalin,somnolence,5.995747921094728
ritalin,headache,4.75506677438069
ritalin,vomiting,5.5503777289493925
ritalin,insomnia,5.873563435863208
ritalin,dizziness,6.18962511061933
ritalin,abnormal,4.82210991835663
ritalin,suicidal ideation,5.805504870363053
ritalin,depression,4.88640305286198
ritalin,anxiety,4.749443488589601
ritalin,aggression,4.710786190715139
ritalin,abnormal behaviour,5.656068789166522
ritalin,abdominal pain,5.740503164557363
ritalin,decreased appetite,5.781878441641097
ritalin,disturbance in attention,5.648828555652171
ritalin,irritability,6.228412387446862
ritalin,hypotension,6.068585859419983
ritalin,bradycardia,6.051268382120683
ritalin,no adverse event,0.6568616552332233
ritalin,electrocardiogram qt prolonged,3.1678916629856033
ritalin,toxicity to various agents,5.766642968106821
ritalin,agitation,4.892654185298551
ritalin,pain,4.644708397502155
ritalin,hypertension,5.946679540159386
ritalin,dyspnoea,6.10122213291295
ritalin,chronic kidney disease,5.690318649817753
ritalin,diarrhoea,5.658963011851201
ritalin,renal failure,5.839471597823104
ritalin,blood pressure increased,5.8523509341685065
ritalin,acute kidney injury,5.749925450989276
ritalin,asthenia,5.732060437180059
ritalin,death,4.678674561345163
ritalin,fall,4.903231840946771
ritalin,suicide,4.636884637409551
ritalin,rash,5.839176602377368
ritalin,weight increased,5.477426569792576
ritalin,malaise,5.857990287011758
ritalin,migraine,5.798644000791402
ritalin,anger,4.755315022799321
ritalin,withdrawal syndrome,5.60227350726982
ritalin,seizure,4.657233490282399
ritalin,application site erythema,6.082877242427341
ritalin,condition aggravated,1.8937881075061127
ritalin,weight decreased,5.630664074851597
adderall,drug ineffective,5.5645711831339115
adderall,nausea,4.7521154808474115
adderall,fatigue,4.751973471798739
adderall,somnolence,6.018335571000864
adderall,headache,4.76481132716923
adderall,vomiting,5.565774243611556
adderall,insomnia,5.891300448349544
adderall,dizziness,6.221975849224971
adderall,abnormal,4.823371924869306
adderall,suicidal ideation,5.825889506182827
adderall,depression,4.904531242755743
adderall,anxiety,4.764109867614704
adderall,aggression,4.719462428119157
adderall,abnormal behaviour,5.676371074639834
adderall,abdominal pain,5.7676135164040785
adderall,decreased appetite,5.809246972039507
adderall,disturbance in attention,5.671058210697803
adderall,irritability,6.2514474617910905
adderall,hypotension,6.097978609603839
adderall,bradycardia,6.074916969943832
adderall,no adverse event,0.6624551251694396
adderall,electrocardiogram qt prolonged,3.179099155978842
adderall,toxicity to various agents,5.77869720707883
adderall,agitation,4.884875572644747
adderall,pain,4.659233199043588
adderall,hypertension,5.966881499185666
adderall,dyspnoea,6.139988520315715
adderall,chronic kidney disease,5.7167807054388655
adderall,diarrhoea,5.692289389424272
adderall,renal failure,5.8675270178815815
adderall,blood pressure increased,5.879696991417434
adderall,acute kidney injury,5.774341185669322
adderall,asthenia,5.747171378070182
adderall,death,4.679089280602696
adderall,fall,4.900959968894393
adderall,suicide,4.648357261013199
adderall,rash,5.860702791711786
adderall,weight increased,5.499379049290668
adderall,malaise,5.880003564632856
adderall,migraine,5.824241904112008
adderall,anger,4.768427065113089
adderall,withdrawal syndrome,5.624701135761134
adderall,seizure,4.660207223106217
adderall,application site erythema,6.108332706349236
adderall,condition aggravated,1.8925983660168701
adderall,weight decreased,5.661727445793676
dexedrine,drug ineffective,5.550385363375352
dexedrine,nausea,4.75451658093486
dexedrine,fatigue,4.752829016166285
dexedrine,somnolence,5.9988156383195195
dexedrine,headache,4.774196789333643
dexedrine,vomiting,5.563909553126855
dexedrine,insomnia,5.87707381781714
dexedrine,dizziness,6.192138236637943
dexedrine,abnormal,4.837411180113958
dexedrine,suicidal ideation,5.807693163422513
dexedrine,depression,4.90248180050249
dexedrine,anxiety,4.768059452555397
dexedrine,aggression,4.727848072817996
dexedrine,abnormal behaviour,5.666828747943414
dexedrine,abdominal pain,5.7494926368402055
dexedrine,decreased appetite,5.792374455978061
dexedrine,disturbance in attention,5.657926704309696
dexedrine,irritability,6.229927104957833
dexedrine,hypotension,6.071348368505801
dexedrine,bradycardia,6.054974688257068
dexedrine,no adverse event,0.657399516435694
dexedrine,electrocardiogram qt prolonged,3.1689470731276126
dexedrine,toxicity to various agents,5.768922986114813
dexedrine,agitation,4.908649217515938
dexedrine,pain,4.66256142054215
dexedrine,hypertension,5.946991743603029
dexedrine,dyspnoea,6.106136617015217
dexedrine,chronic kidney disease,5.693429494014949
dexedrine,diarrhoea,5.662004535725295
dexedrine,renal failure,5.842794778191847
dexedrine,blood pressure increased,5.861185424596316
