rank,side_effect,comment
top 1,anxiety,Fatigue...
top 1,anxiety,I
top 1,anxiety,Dry mouth
top 1,anxiety,Yes.
top 1,anxiety,No
top 2,abnormal behaviour,Fatigue...
top 2,abnormal behaviour,I
top 2,abnormal behaviour,Med change 
top 2,abnormal behaviour,Dry mouth
top 2,abnormal behaviour,Yes.
top 3,depression,Fatigue...
top 3,depression,I
top 3,depression,Yes.
top 3,depression,No
top 3,depression,Dry mouth
top 4,headache,Fatigue...
top 4,headache,I
top 4,headache,Yes.
top 4,headache,No
top 4,headache,"Interesting, thanks!"
top 5,anger,Fatigue...
top 5,anger,I
top 5,anger,Yes.
top 5,anger,No
top 5,anger,Dry mouth
tail 1,dizziness,Dry mouth
tail 1,dizziness,Stomach issues 
tail 1,dizziness,Fatigue...
tail 1,dizziness,No
tail 1,dizziness,What dosage?
tail 2,no adverse event,High heart rate
tail 2,no adverse event,severe depression and overall apathy 
tail 2,no adverse event,Decreasing for sexual side effects 
tail 2,no adverse event,Stomach issues 
tail 2,no adverse event,Not a problem! Good luck!
tail 3,somnolence,TMI Constipation / Working Out 
tail 3,somnolence,Dry mouth
tail 3,somnolence,Citrucel!
tail 3,somnolence,So far no issues.
tail 3,somnolence,A lot of prunes
tail 4,abdominal pain,Stomach issues 
tail 4,abdominal pain,High heart rate
tail 4,abdominal pain,severe depression and overall apathy 
tail 4,abdominal pain,Dry mouth
tail 4,abdominal pain,Beneficial weight loss?
tail 5,drug ineffective,Fatigue...
tail 5,drug ineffective,Advice: Stopping Strattera
tail 5,drug ineffective,Dry mouth
tail 5,drug ineffective,Med change 
tail 5,drug ineffective,I
