drug,side_effect,comment,score
concerta,drug ineffective,Im on 36,7.197479963302612
concerta,drug ineffective,Side effect? ,7.160390317440033
concerta,drug ineffective,Hyper-focus on 54mg,7.100815296173096
concerta,drug ineffective,Memory loss on concerta,7.029810428619385
concerta,drug ineffective,Emotional flattening,7.014739990234375
concerta,drug ineffective,3x36 in the morning,7.007516801357269
concerta,drug ineffective,Just started out,6.98967170715332
concerta,drug ineffective,Concerta and Alcohol ,6.984422385692596
concerta,drug ineffective,Same!,6.954300582408905
concerta,drug ineffective,Same 😂,6.954300582408905
concerta,nausea,Addiction,7.971654653549194
concerta,nausea,This.,7.545210659503937
concerta,nausea,Same!,7.528036653995514
concerta,nausea,Same 😂,7.528036653995514
concerta,nausea,Same,7.528036653995514
concerta,nausea,apologize,7.347036004066467
concerta,nausea,Im on 36,7.305064678192139
concerta,nausea,Thank you!,7.097409784793854
concerta,nausea,Thank you!!,7.097409784793854
concerta,nausea,Side effect? ,7.057292342185974
concerta,fatigue,Addiction,7.740136981010437
concerta,fatigue,This.,7.3796364068984985
concerta,fatigue,Same!,7.355079650878906
concerta,fatigue,Same 😂,7.355079650878906
concerta,fatigue,Same,7.355079650878906
concerta,fatigue,Im on 36,7.186003088951111
concerta,fatigue,apologize,7.170051574707031
concerta,fatigue,Thank you!,6.980291068553925
concerta,fatigue,Thank you!!,6.980291068553925
concerta,fatigue,Side effect? ,6.948100566864014
concerta,somnolence,Loss of social inhibitions?,6.995759665966034
concerta,somnolence,Chest pain/tightness in the evening,6.947727859020233
concerta,somnolence,Hyper-focus on 54mg,6.941025137901306
concerta,somnolence,Emotional flattening,6.91199117898941
concerta,somnolence,New to stimulants ,6.874261140823364
concerta,somnolence,need help regarding naudea and hunger pangs,6.855615198612213
concerta,somnolence,Could be reflux/heartburn?,6.822948157787323
concerta,somnolence,Great results but social anxiety?,6.820971727371216
concerta,somnolence,HELP! Concerta hallucinations ,6.80274373292923
concerta,somnolence,Concerta and Alcohol ,6.793808221817017
concerta,headache,Addiction,7.9773260951042175
concerta,headache,Same!,7.764079928398132
concerta,headache,Same 😂,7.764079928398132
concerta,headache,Same,7.764079928398132
concerta,headache,This.,7.587175071239471
concerta,headache,Im on 36,7.467821180820465
concerta,headache,apologize,7.460822939872742
concerta,headache,Thank you!,7.130056381225586
concerta,headache,Thank you!!,7.130056381225586
concerta,headache,Side effect? ,7.01848840713501
concerta,vomiting,Im on 36,7.486815810203552
concerta,vomiting,Hyper-focus on 54mg,7.346034348011017
concerta,vomiting,Side effect? ,7.242729842662811
concerta,vomiting,3x36 in the morning,7.232065796852112
concerta,vomiting,Memory loss on concerta,7.225545227527618
concerta,vomiting,Same!,7.218354403972626
concerta,vomiting,Same 😂,7.218354403972626
concerta,vomiting,Same,7.218354403972626
concerta,vomiting,This.,7.201395153999329
concerta,vomiting,Emotional flattening,7.186291217803955
concerta,insomnia,Loss of social inhibitions?,7.096635282039642
concerta,insomnia,Emotional flattening,7.06609046459198
concerta,insomnia,Hyper-focus on 54mg,7.046814143657684
concerta,insomnia,Chest pain/tightness in the evening,6.972670197486877
concerta,insomnia,3x36 in the morning,6.948334872722626
concerta,insomnia,Memory loss on concerta,6.924601078033447
concerta,insomnia,Great results but social anxiety?,6.920566439628601
concerta,insomnia,Could be reflux/heartburn?,6.9049569964408875
concerta,insomnia,Concerta and Alcohol ,6.899810075759888
concerta,insomnia,I'm on 72mg! It's amazing,6.8645883202552795
concerta,dizziness,Loss of social inhibitions?,7.216418027877808
concerta,dizziness,Chest pain/tightness in the evening,7.147251307964325
concerta,dizziness,Emotional flattening,7.079404771327972
concerta,dizziness,Hyper-focus on 54mg,7.057122528553009
concerta,dizziness,Could be reflux/heartburn?,7.047162652015686
concerta,dizziness,3x36 in the morning,7.031723260879517
concerta,dizziness,Just started and huge headache,6.999530017375946
