drug,side_effect,comment,score
concerta,drug ineffective,Concerta and Alcohol ,0.7298725247383118
concerta,drug ineffective,Side effect? ,0.7238426804542542
concerta,drug ineffective,Addiction,0.7198824882507324
concerta,drug ineffective,apologize,0.7086014151573181
concerta,drug ineffective,This.,0.6791293621063232
concerta,drug ineffective,Hyper-focus on 54mg,0.6789714694023132
concerta,drug ineffective,yep,0.6707531809806824
concerta,drug ineffective,Same!,0.6667161583900452
concerta,drug ineffective,Same 😂,0.6667161583900452
concerta,drug ineffective,Same,0.6667161583900452
concerta,nausea,Addiction,7.7003374099731445
concerta,nausea,This.,7.503694772720337
concerta,nausea,apologize,7.410706162452698
concerta,nausea,RIGHT?! 😭,7.182135820388794
concerta,nausea,yep,7.045480012893677
concerta,nausea,Same!,6.912826955318451
concerta,nausea,Same 😂,6.912826955318451
concerta,nausea,Same,6.912826955318451
concerta,nausea,36mg,6.885556161403656
concerta,nausea,Forsho,6.489782452583313
concerta,fatigue,Addiction,8.32014513015747
concerta,fatigue,This.,8.046692430973053
concerta,fatigue,RIGHT?! 😭,7.851827442646027
concerta,fatigue,apologize,7.726420819759369
concerta,fatigue,36mg,7.716549336910248
concerta,fatigue,yep,7.536766350269318
concerta,fatigue,Same!,7.430738389492035
concerta,fatigue,Same 😂,7.430738389492035
concerta,fatigue,Same,7.430738389492035
concerta,fatigue,Forsho,7.387091040611267
concerta,somnolence,Emotional flattening,0.6554149389266968
concerta,somnolence,Concerta and Alcohol ,0.6379198431968689
concerta,somnolence,Side effect? ,0.6186118125915527
concerta,somnolence,being wrong,0.5962222218513489
concerta,somnolence,Just crash Anxiety or allergy? ,0.5850093364715576
concerta,somnolence,Adderall to Concerta?,0.5831804275512695
concerta,somnolence,Loss of social inhibitions?,0.5800199508666992
concerta,somnolence,Most power to you,0.5772759914398193
concerta,somnolence,apologize,0.5718194246292114
concerta,somnolence,Extremely horny,0.57148277759552
concerta,headache,Addiction,8.03184062242508
concerta,headache,This.,7.758446753025055
concerta,headache,apologize,7.700154542922974
concerta,headache,RIGHT?! 😭,7.452588796615601
concerta,headache,yep,7.2668328285217285
concerta,headache,Same!,7.240085065364838
concerta,headache,Same 😂,7.240085065364838
concerta,headache,Same,7.240085065364838
concerta,headache,36mg,7.220246911048889
concerta,headache,Forsho,6.752152323722839
concerta,vomiting,Addiction,7.7950708866119385
concerta,vomiting,This.,7.461630642414093
concerta,vomiting,apologize,7.397323429584503
concerta,vomiting,RIGHT?! 😭,7.1640318632125854
concerta,vomiting,yep,7.026144981384277
concerta,vomiting,36mg,6.966180205345154
concerta,vomiting,Same!,6.918539524078369
concerta,vomiting,Same 😂,6.918539524078369
concerta,vomiting,Same,6.918539524078369
concerta,vomiting,Forsho,6.49775105714798
concerta,insomnia,No side effects from quitting caffeine?,0.6337475180625916
concerta,insomnia,HELP! Concerta hallucinations ,0.6280662417411804
concerta,insomnia,Just crash Anxiety or allergy? ,0.6274182200431824
concerta,insomnia,Loss of social inhibitions?,0.6172271966934204
concerta,insomnia,Extremely horny,0.5786780714988708
concerta,insomnia,Check your blood pressure it may be high,0.5770286321640015
concerta,insomnia,New to ADHD Meds,0.572532057762146
concerta,insomnia,"Protein for breakfast... water, no caffeine and little sugar. Good luckn",0.5689862966537476
concerta,insomnia,New to stimulants ,0.5608163475990295
