rank,side_effect,comment
top 1,anxiety,Water
top 1,anxiety,Nope
top 1,anxiety,Yes
top 1,anxiety,Protein shake
top 1,anxiety,Protein shake.
top 2,headache,Water
top 2,headache,30mg!
top 2,headache,Yes
top 2,headache,Nope
top 2,headache,Protein shake
top 3,abnormal behaviour,Water
top 3,abnormal behaviour,Protein shake
top 3,abnormal behaviour,Protein shake.
top 3,abnormal behaviour,30mg!
top 3,abnormal behaviour,On 20mg
top 4,depression,Water
top 4,depression,30mg!
top 4,depression,Protein shake
top 4,depression,Protein shake.
top 4,depression,Yes
top 5,anger,Water
top 5,anger,Yes
top 5,anger,30mg!
top 5,anger,Nope
top 5,anger,Protein shake
tail 1,dizziness,Water
tail 1,dizziness,Nope
tail 1,dizziness,Yes
tail 1,dizziness,Protein shake
tail 1,dizziness,Protein shake.
tail 2,no adverse event,side effects coming and going depending on day
tail 2,no adverse event,You did the right thing.
tail 2,no adverse event,weird perception of touch and fingers 
tail 2,no adverse event,Take the meds :)
tail 2,no adverse event,So much sweat. So much.
tail 3,somnolence,Protein water
tail 3,somnolence,Protein shake
tail 3,somnolence,Protein shake.
tail 3,somnolence,weird perception of touch and fingers 
tail 3,somnolence,My pleasure
tail 4,abdominal pain,side effects coming and going depending on day
tail 4,abdominal pain,weird perception of touch and fingers 
tail 4,abdominal pain,So much sweat. So much.
tail 4,abdominal pain,Take the meds :)
tail 4,abdominal pain,Major hair loss happening rn. 😞
tail 5,bradycardia,Typical side effect when you increase the dosage which usually gets better
tail 5,bradycardia,side effects coming and going depending on day
tail 5,bradycardia,weird perception of touch and fingers 
tail 5,bradycardia,Antibiotics (Amoxicillin) + Vyvanse = Ineffective Meds
tail 5,bradycardia,Major hair loss happening rn. 😞
