rank,side_effect,comment
top 1,anxiety,Garbage.
top 1,anxiety,Truth!
top 1,anxiety,Horrible
top 1,anxiety,Genius!
top 1,anxiety,This***
top 2,abnormal behaviour,Garbage.
top 2,abnormal behaviour,Facts
top 2,abnormal behaviour,Genius!
top 2,abnormal behaviour,This***
top 2,abnormal behaviour,This.
top 3,headache,Truth!
top 3,headache,Garbage.
top 3,headache,Horrible
top 3,headache,Genius!
top 3,headache,This***
top 4,depression,Garbage.
top 4,depression,Truth!
top 4,depression,This***
top 4,depression,This.
top 4,depression,This
top 5,anger,Garbage.
top 5,anger,Truth!
top 5,anger,Horrible
top 5,anger,Genius!
top 5,anger,This***
tail 1,dizziness,Garbage.
tail 1,dizziness,Horrible
tail 1,dizziness,Facts
tail 1,dizziness,Genius!
tail 1,dizziness,No.
tail 2,no adverse event,Take meds
tail 2,no adverse event,Any updates?
tail 2,no adverse event,Report it for health misinformation.
tail 2,no adverse event,I felt the effects right away.
tail 2,no adverse event,"Understandable, best of luck to you!"
tail 3,abdominal pain,Take meds
tail 3,abdominal pain,Therapy>psychiatry
tail 3,abdominal pain,Have you experienced headaches?
tail 3,abdominal pain,Buckle up?
tail 3,abdominal pain,Bye!!!
tail 4,somnolence,Manipulative POS.
tail 4,somnolence,Manipulative
tail 4,somnolence,This is emotional abuse.
tail 4,somnolence,Narcissism
tail 4,somnolence,Wellbutrin fail
tail 5,drug ineffective,Garbage.
tail 5,drug ineffective,Facts
tail 5,drug ineffective,underrated comment 🤣🤣🤣
tail 5,drug ineffective,Skill issue
tail 5,drug ineffective,Genius!
